GeographyCode,WP601EW0001,WP601EW0002,WP601EW0003,WP601EW0004,WP601EW0005,WP601EW0006,WP601EW0007,WP601EW0008
E33003034,376,87,238,5,12,7,10,17
E33003035,224,74,127,1,4,3,8,7
E33003036,320,133,142,4,9,5,9,18
E33003037,1197,118,1025,2,3,15,8,26
E33003038,253,49,152,0,10,12,6,24
E33003039,1331,75,1202,0,6,4,29,15
E33003040,228,39,165,0,10,3,6,5
E33003041,557,60,457,2,14,2,12,10
E33003042,612,77,499,0,4,1,5,26
E33003043,265,46,210,0,1,1,6,1
E33003044,1121,363,682,2,13,2,7,52
E33003045,998,255,680,2,6,3,5,47
E33003046,216,62,135,1,6,4,4,4
E33003047,273,17,222,1,11,1,15,6
E33003048,242,24,206,1,3,1,5,2
E33003049,270,24,226,1,7,0,4,8
E33003050,217,18,189,1,2,1,2,4
E33003051,309,40,228,1,9,3,25,3
E33003052,195,46,114,1,15,0,15,4
E33003053,244,28,198,0,3,0,9,6
E33003054,283,92,139,2,15,2,5,28
E33003055,380,147,189,3,7,9,20,5
E33003056,337,159,143,3,5,4,3,20
E33003057,247,66,113,0,11,6,31,20
E33003058,672,184,461,2,4,0,6,15
E33003059,600,288,236,1,3,7,12,53
E33003060,351,39,293,0,2,0,3,14
E33003061,282,128,131,2,4,0,3,14
E33003062,446,204,179,0,2,2,2,57
E33003063,984,74,884,1,8,0,7,10
E33003064,231,75,115,0,1,6,7,27
E33003065,292,48,234,0,4,3,3,0
E33003066,312,24,276,0,5,0,4,3
E33003067,417,70,303,1,3,4,7,29
E33003068,251,19,227,1,1,0,1,2
E33003069,1044,98,884,0,6,8,26,22
E33003070,210,20,178,0,0,1,4,7
E33003071,580,119,433,0,3,0,3,22
E33003072,198,24,157,0,8,0,7,2
E33003073,553,51,483,0,6,1,7,5
E33003074,519,53,444,1,10,2,4,5
E33003075,1093,110,956,0,6,3,9,9
E33003076,263,19,232,0,0,1,6,5
E33003077,447,143,247,1,11,1,6,38
E33003078,331,31,269,2,11,2,11,5
E33003079,512,73,397,5,8,6,16,7
E33003080,345,64,256,0,5,6,10,4
E33003081,679,47,607,0,1,2,14,8
E33003082,234,69,141,2,7,3,7,5
E33003083,740,81,615,1,17,6,13,7
E33003084,299,33,231,3,16,6,7,3
E33003085,246,19,212,0,0,3,9,3
E33003086,263,90,122,4,21,7,15,4
E33003087,414,150,215,2,17,3,14,13
E33003088,240,73,138,0,9,0,1,19
E33003089,1010,249,712,1,7,4,11,26
E33003090,203,71,98,1,5,3,11,14
E33003091,654,320,231,2,14,3,5,79
E33003092,317,95,189,3,19,2,5,4
E33003093,206,50,130,1,6,9,3,7
E33003094,319,81,204,2,3,3,5,21
E33003095,200,78,84,2,14,4,13,5
E33003096,531,268,205,1,8,9,4,36
E33003097,282,104,113,5,13,6,31,10
E33003098,760,153,594,0,2,2,2,7
E33003099,215,63,120,2,17,2,6,5
E33003100,194,62,72,5,11,8,22,14
E33003101,608,181,398,1,8,1,10,9
E33003102,382,137,204,3,8,8,6,16
E33003103,342,24,288,0,8,5,7,10
E33003104,683,102,543,1,6,3,15,13
E33003105,489,67,375,5,17,1,20,4
E33003106,551,168,274,1,5,3,6,94
E33003107,333,61,237,1,9,1,9,15
E33003108,280,38,221,1,8,3,4,5
E33003109,357,62,276,2,3,3,5,6
E33003110,1607,228,1309,1,12,14,18,25
E33003111,733,181,519,2,3,2,11,15
E33003112,320,76,208,3,9,3,7,14
E33003113,455,142,287,0,5,6,5,10
E33003114,199,67,96,5,11,1,2,17
E33003115,586,144,386,0,15,4,11,26
E33003116,1075,215,824,0,2,4,21,9
E33003117,202,81,84,0,2,0,6,29
E33003118,459,176,214,2,3,2,3,59
E33003119,593,223,289,1,13,5,8,54
E33003120,197,80,94,0,1,4,2,16
E33003121,285,95,117,3,14,4,19,33
E33003122,337,94,174,4,28,9,14,14
E33003123,232,53,144,0,8,4,10,13
E33003124,795,347,306,0,3,3,2,134
E33003125,328,69,185,6,32,5,20,11
E33003126,267,96,108,0,6,4,9,44
E33003127,235,70,134,2,12,1,4,12
E33003128,202,43,140,2,6,1,8,2
E33003129,500,194,259,0,3,0,7,37
E33003130,334,144,145,0,12,2,4,27
E33003131,204,70,80,0,13,3,19,19
E33003132,317,76,187,4,18,7,14,11
E33003133,456,125,216,1,19,5,26,64
E33003134,586,251,228,0,3,8,9,87
E33003135,790,350,399,1,9,4,7,20
E33003136,394,85,241,6,17,9,29,7
E33003137,388,67,221,1,7,5,11,76
E33003138,764,121,592,1,4,4,12,30
E33003139,520,132,258,3,25,14,64,24
E33003140,2254,763,1417,1,3,5,23,42
E33003141,654,250,315,2,14,11,11,51
E33003142,508,229,215,0,1,1,2,60
E33003143,161,39,106,0,2,1,1,12
E33003144,264,84,178,0,0,0,0,2
E33003145,213,99,92,2,3,0,2,15
E33003146,265,28,215,0,8,2,5,7
E33003147,313,20,277,0,4,0,7,5
E33003148,207,25,163,0,5,0,10,4
E33003149,432,131,228,1,4,4,3,61
E33003150,585,70,483,0,4,4,8,16
E33003151,1038,309,522,2,10,7,11,177
E33003152,467,128,250,2,12,4,12,59
E33003153,778,193,523,1,2,4,3,52
E33003154,1026,134,833,2,11,7,18,21
E33003155,906,128,707,8,14,13,28,8
E33003156,839,130,674,0,15,1,12,7
E33003157,541,196,244,0,4,7,11,79
E33003158,412,43,326,1,21,6,12,3
E33003159,749,229,410,3,22,16,51,18
E33003160,802,191,468,0,39,5,39,60
E33003161,327,122,125,0,3,8,13,56
E33003162,535,222,203,5,32,4,28,41
E33003163,581,70,490,0,0,2,11,8
E33003164,1342,181,1099,3,6,3,24,26
E33003165,839,254,459,3,31,11,24,57
E33003166,350,114,179,1,18,13,16,9
E33003167,643,206,385,1,4,0,7,40
E33003168,565,110,433,0,3,3,9,7
E33003169,276,149,110,1,4,0,5,7
E33003170,336,78,201,4,18,3,29,3
E33003171,387,47,309,0,11,4,11,5
E33003172,1928,542,1272,9,21,29,38,17
E33003173,434,125,290,0,6,3,5,5
E33003174,649,128,473,1,10,4,13,20
E33003175,618,135,460,4,6,0,5,8
E33003176,480,47,406,0,13,1,4,9
E33003177,374,99,252,0,7,1,6,9
E33003178,217,30,162,1,13,0,9,2
E33003179,256,54,156,2,20,7,8,9
E33003180,123,33,29,4,16,4,31,6
E33003181,306,134,134,0,4,0,2,32
E33003182,942,174,714,0,7,1,8,38
E33003183,650,311,229,3,15,2,13,77
E33003184,208,70,121,0,4,4,5,4
E33003185,243,80,94,4,15,9,34,7
E33003186,320,139,134,3,10,1,2,31
E33003187,1118,127,938,1,3,7,23,19
E33003188,952,84,837,0,10,2,11,8
E33003189,609,72,515,4,6,0,7,5
E33003190,1188,435,448,8,21,19,30,227
E33003191,552,160,298,4,24,10,13,43
E33003192,396,75,282,1,17,2,7,12
E33003193,375,41,311,0,8,0,6,9
E33003194,472,54,400,2,9,1,2,4
E33003195,312,34,264,0,4,3,4,3
E33003196,523,42,466,0,1,0,6,8
E33003197,900,193,652,3,6,4,14,28
E33003198,606,251,301,0,7,1,11,35
E33003199,334,30,286,0,3,1,9,5
E33003200,2583,901,1596,2,15,11,21,37
E33003201,246,74,118,1,14,9,8,22
E33003202,427,213,142,3,8,9,17,35
E33003203,333,102,155,2,14,14,23,23
E33003204,252,109,106,3,15,5,7,7
E33003205,238,75,102,1,22,1,9,28
E33003206,249,113,97,2,12,6,4,15
E33003207,217,70,125,0,2,1,1,18
E33003208,532,229,216,3,11,2,19,52
E33003209,636,277,260,6,34,16,21,22
E33003210,4726,1601,2951,5,15,14,30,110
E33003211,666,89,517,1,10,9,27,13
E33003212,234,115,91,0,2,2,6,18
E33003213,631,153,445,4,8,3,10,8
E33003214,439,110,280,0,10,6,17,16
E33003215,1167,177,863,0,12,7,28,80
E33003216,534,65,424,0,13,0,7,25
E33003217,306,64,232,0,0,1,1,8
E33003218,624,278,239,1,17,8,12,69
E33003219,250,62,168,1,5,2,4,8
E33003220,602,229,283,0,23,7,15,45
E33003221,526,186,222,0,6,2,5,105
E33003222,224,105,97,0,6,2,1,13
E33003223,255,64,174,0,1,0,1,15
E33003224,319,21,288,0,2,0,6,2
E33003225,229,21,200,0,0,3,2,3
E33003226,407,50,338,0,7,3,5,4
E33003227,378,20,335,1,7,2,8,5
E33003228,600,38,541,3,8,1,7,2
E33003229,322,58,261,0,0,0,1,2
E33003230,266,16,221,1,1,1,17,9
E33003231,370,37,313,0,2,3,6,9
E33003232,332,41,239,0,1,4,11,36
E33003233,407,48,331,0,5,3,11,9
E33003234,408,71,301,0,2,6,20,8
E33003235,275,24,238,0,2,4,5,2
E33003236,414,25,371,0,3,2,12,1
E33003237,613,71,530,0,0,2,7,3
E33003238,1473,230,1209,3,3,6,9,13
E33003239,666,52,586,0,6,3,10,9
E33003240,245,35,203,0,0,2,0,5
E33003241,405,66,321,0,9,3,2,4
E33003242,245,68,164,0,5,2,3,3
E33003243,239,124,94,0,3,1,0,17
E33003244,983,490,357,4,2,2,4,124
E33003245,515,191,252,0,7,4,8,53
E33003246,356,41,303,0,0,0,6,6
E33003247,490,106,375,0,2,3,2,2
E33003248,382,72,284,2,8,3,8,5
E33003249,275,17,240,0,3,1,13,1
E33003250,339,35,266,1,19,4,8,6
E33003251,425,27,375,1,6,4,8,4
E33003252,252,13,226,0,6,0,3,4
E33003253,738,94,588,0,17,10,21,8
E33003254,413,202,183,1,1,0,0,26
E33003255,1300,412,838,1,5,5,16,23
E33003256,280,68,201,0,0,1,1,9
E33003257,231,89,117,3,14,2,2,4
E33003258,461,194,192,6,19,8,16,26
E33003259,240,30,176,2,20,0,10,2
E33003260,911,66,793,1,11,6,25,9
E33003261,212,19,157,2,14,2,14,4
E33003262,277,97,158,1,4,0,5,12
E33003263,270,64,182,0,5,1,13,5
E33003264,312,77,136,1,21,2,25,50
E33003265,438,104,309,0,3,1,9,12
E33003266,291,52,195,5,10,4,10,15
E33003267,737,89,592,2,8,4,33,9
E33003268,368,120,225,0,1,1,4,17
E33003269,676,89,516,2,14,4,23,28
E33003270,904,84,759,0,7,2,22,30
E33003271,467,140,295,2,8,8,5,9
E33003272,371,54,304,0,4,0,5,4
E33003273,510,72,420,1,3,2,5,7
E33003274,123,51,44,2,8,2,10,6
E33003275,273,57,188,0,5,4,15,4
E33003276,202,57,116,0,15,2,5,7
E33003277,199,68,112,2,10,2,2,3
E33003278,308,74,191,0,19,5,11,8
E33003279,227,61,143,2,5,2,9,5
E33003280,440,145,195,4,2,2,8,84
E33003281,959,244,667,2,2,2,7,35
E33003282,305,49,228,0,8,4,13,3
E33003283,525,103,340,0,7,6,11,58
E33003284,235,33,193,0,1,0,2,6
E33003285,557,136,378,0,17,1,15,10
E33003286,258,60,167,0,14,2,12,3
E33003287,822,71,694,0,19,2,25,11
E33003288,578,78,469,1,9,1,17,3
E33003289,370,44,301,2,4,3,10,6
E33003290,560,71,475,0,0,3,3,8
E33003291,1645,156,1379,6,19,7,62,16
E33003292,1203,106,1047,2,7,9,21,11
E33003293,1440,195,1162,0,6,3,40,34
E33003294,520,30,457,1,8,1,18,5
E33003295,928,93,768,2,26,5,19,15
E33003296,604,40,537,0,3,1,6,17
E33003297,774,344,271,3,16,8,18,114
E33003298,362,50,302,1,2,1,3,3
E33003299,912,179,671,1,9,7,22,23
E33003300,756,167,518,2,18,10,28,13
E33003301,540,136,373,0,6,2,9,14
E33003302,294,83,169,0,5,7,18,12
E33003303,310,48,227,1,11,5,13,5
E33003304,580,49,509,2,7,1,10,2
E33003305,651,85,530,2,19,2,9,4
E33003306,848,87,713,2,11,7,19,9
E33003307,324,72,199,1,6,4,12,30
E33003308,660,72,539,0,6,4,20,19
E33003309,1218,134,1048,2,8,2,14,10
E33003310,629,137,454,2,8,5,15,8
E33003311,262,51,164,2,8,7,19,11
E33003312,403,20,362,0,5,0,8,8
E33003313,2445,220,2126,4,29,8,33,25
E33003314,248,55,172,0,5,1,9,6
E33003315,648,239,294,9,26,8,18,54
E33003316,727,331,278,1,11,11,15,80
E33003317,472,134,268,4,4,2,11,49
E33003318,271,29,236,0,1,1,4,0
E33003319,998,247,623,2,2,0,11,113
E33003320,1292,571,589,0,1,4,5,122
E33003321,470,49,420,0,0,1,0,0
E33003322,853,160,656,0,4,7,17,9
E33003323,209,49,104,9,10,15,17,5
E33003324,789,164,552,8,25,15,16,9
E33003325,268,60,167,4,18,6,11,2
E33003326,457,115,307,4,6,7,12,6
E33003327,554,228,274,2,6,1,4,39
E33003328,801,85,672,3,12,4,16,9
E33003329,269,80,156,3,6,8,8,8
E33003330,649,99,492,3,16,6,16,17
E33003331,580,50,482,0,8,12,20,8
E33003332,733,92,586,2,15,6,22,10
E33003333,753,118,557,8,24,16,19,11
E33003334,227,36,170,0,4,3,10,4
E33003335,737,51,659,0,5,1,10,11
E33003336,411,74,306,0,19,3,4,5
E33003337,502,87,373,1,5,11,8,17
E33003338,522,72,417,1,18,1,9,4
E33003339,554,65,469,1,4,2,8,5
E33003340,3969,1013,2828,3,7,14,34,70
E33003341,869,337,359,1,9,9,8,146
E33003342,251,61,145,0,9,5,10,21
E33003343,452,32,399,3,8,1,5,4
E33003344,686,70,592,3,5,2,9,5
E33003345,339,36,290,0,5,3,3,2
E33003346,228,16,204,0,0,4,3,1
E33003347,456,156,250,2,8,1,2,37
E33003348,337,104,210,1,4,1,6,11
E33003349,429,95,243,3,7,4,11,66
E33003350,711,179,468,5,11,8,21,19
E33003351,269,63,192,2,0,2,4,6
E33003352,202,44,135,3,0,6,6,8
E33003353,288,58,201,1,6,2,8,12
E33003354,213,70,101,2,18,6,9,7
E33003355,494,134,305,0,10,5,16,24
E33003356,422,153,152,2,6,1,6,102
E33003357,375,114,191,2,2,1,3,62
E33003358,557,211,192,1,4,6,4,139
E33003359,269,57,166,1,29,2,9,5
E33003360,317,73,180,4,30,2,16,12
E33003361,356,152,141,0,1,1,3,58
E33003362,385,74,281,0,13,2,4,11
E33003363,1904,571,1213,4,8,15,13,80
E33003364,259,96,96,10,15,4,17,21
E33003365,515,120,315,0,25,7,32,16
E33003366,225,60,130,3,7,4,14,7
E33003367,517,206,197,11,18,10,27,48
E33003368,311,61,222,3,3,2,7,13
E33003369,1047,326,665,1,7,2,7,39
E33003370,690,142,511,0,8,9,9,11
E33003371,240,72,127,1,16,10,8,6
E33003372,522,164,287,18,9,13,15,16
E33003373,278,93,142,2,9,8,14,10
E33003374,280,65,178,2,11,11,7,6
E33003375,218,67,130,1,8,3,4,5
E33003376,411,76,325,0,2,2,4,2
E33003377,263,41,114,17,27,27,36,1
E33003378,234,46,156,0,14,5,9,4
E33003379,503,108,145,8,37,28,156,21
E33003380,892,222,591,3,9,3,6,58
E33003381,675,89,496,1,11,12,60,6
E33003382,203,73,70,3,12,6,23,16
E33003383,203,68,97,2,5,4,13,14
E33003384,266,94,135,1,16,2,14,4
E33003385,264,86,155,1,6,3,9,4
E33003386,234,55,91,2,17,4,51,14
E33003387,1254,349,798,3,19,8,22,55
E33003388,405,34,330,0,9,2,21,9
E33003389,437,33,367,1,20,4,10,2
E33003390,668,63,545,1,18,8,18,15
E33003391,2926,895,1969,1,2,19,23,17
E33003392,335,57,239,2,13,4,13,7
E33003393,657,193,438,0,8,2,10,6
E33003394,468,167,260,0,2,10,18,11
E33003395,940,158,704,2,20,9,35,12
E33003396,209,61,99,2,11,3,21,12
E33003397,1203,189,900,0,18,0,24,72
E33003398,917,371,317,0,5,2,6,216
E33003399,282,91,120,0,2,0,3,66
E33003400,261,105,90,0,2,0,6,58
E33003401,355,101,221,0,2,1,2,28
E33003402,418,163,197,2,7,4,2,43
E33003403,345,67,193,3,22,8,39,13
E33003404,196,73,54,4,24,9,27,5
E33003405,689,101,563,1,1,3,14,6
E33003406,326,109,109,5,11,9,35,48
E33003407,257,64,148,0,9,7,11,18
E33003408,244,42,26,2,27,16,122,9
E33003409,286,96,149,1,4,3,3,30
E33003410,297,97,156,4,8,1,10,21
E33003411,325,95,192,2,8,2,4,22
E33003412,235,60,138,3,3,1,2,28
E33003413,935,310,486,9,38,14,30,48
E33003414,751,252,426,0,6,7,11,49
E33003415,201,58,89,0,20,6,23,5
E33003416,297,49,233,0,1,3,6,5
E33003417,278,92,110,7,42,2,14,11
E33003418,224,44,87,5,14,13,56,5
E33003419,307,102,162,0,7,13,10,13
E33003420,405,95,212,2,19,4,40,33
E33003421,259,47,164,1,10,6,27,4
E33003422,532,148,309,3,30,13,12,17
E33003423,555,150,318,2,6,7,18,54
E33003424,219,41,144,1,12,2,10,9
E33003425,1094,183,812,9,21,8,24,37
E33003426,282,60,195,2,10,1,9,5
E33003427,264,52,184,3,12,1,2,10
E33003428,361,86,213,1,11,7,7,36
E33003429,396,89,144,3,22,15,79,44
E33003430,311,74,156,0,32,6,27,16
E33003431,211,46,129,1,12,7,5,11
E33003432,836,102,695,1,0,7,19,12
E33003433,333,63,216,1,16,8,5,24
E33003434,1032,406,373,2,10,5,7,229
E33003435,395,85,161,2,22,22,37,66
E33003436,546,160,306,2,18,4,14,42
E33003437,269,74,155,3,15,9,9,4
E33003438,581,197,258,1,0,7,4,114
E33003439,246,58,175,0,6,1,2,4
E33003440,478,128,327,1,2,4,4,12
E33003441,853,335,430,5,8,4,5,66
E33003442,258,69,123,3,16,8,17,22
E33003443,288,66,153,5,18,7,21,18
E33003444,674,159,383,4,27,8,30,63
E33003445,324,86,223,1,2,0,4,8
E33003446,789,313,292,1,5,2,5,171
E33003447,629,136,369,4,12,4,12,92
E33003448,288,100,110,3,9,5,4,57
E33003449,1073,239,783,2,5,4,27,13
E33003450,196,56,107,0,13,4,9,7
E33003451,248,82,152,0,1,1,3,9
E33003452,396,70,284,1,25,3,6,7
E33003453,440,159,193,1,10,3,10,64
E33003454,258,78,126,1,4,1,0,48
E33003455,409,82,271,2,12,8,5,29
E33003456,405,99,234,1,27,3,19,22
E33003457,357,63,281,0,4,1,2,6
E33003458,678,136,472,1,8,4,11,46
E33003459,338,49,249,0,7,7,10,16
E33003460,359,50,273,2,14,0,16,4
E33003461,800,125,647,3,5,1,11,8
E33003462,298,73,194,1,7,5,7,11
E33003463,596,185,303,1,0,1,1,105
E33003464,313,54,239,3,3,0,4,10
E33003465,678,93,545,0,12,2,9,17
E33003466,289,30,250,0,3,1,2,3
E33003467,604,129,438,0,9,1,8,19
E33003468,370,84,266,0,3,8,4,5
E33003469,474,80,331,0,13,4,8,38
E33003470,313,102,191,0,3,0,3,14
E33003471,1013,118,864,1,2,4,14,10
E33003472,1224,208,980,1,6,6,7,16
E33003473,360,83,265,0,2,0,3,7
E33003474,451,111,323,0,1,2,3,11
E33003475,253,25,221,0,4,1,2,0
E33003476,286,22,222,2,11,6,19,4
E33003477,644,52,513,4,20,13,28,14
E33003478,395,115,227,1,6,6,15,25
E33003479,351,52,242,1,11,7,27,11
E33003480,1068,98,912,1,4,13,31,9
E33003481,538,53,450,0,7,5,10,13
E33003482,475,54,348,2,19,14,27,11
E33003483,346,72,233,0,9,8,18,6
E33003484,5036,1653,3236,2,5,23,31,86
E33003485,317,46,229,0,9,5,16,12
E33003486,520,184,256,1,30,10,17,22
E33003487,505,37,413,8,18,5,20,4
E33003488,282,56,189,6,14,3,12,2
E33003489,827,87,691,3,11,9,23,3
E33003490,490,202,178,3,17,9,23,58
E33003491,249,82,106,3,16,7,20,15
E33003492,626,149,416,0,14,13,13,21
E33003493,238,90,120,1,11,3,7,6
E33003494,142,60,52,3,10,4,10,3
E33003495,475,108,326,1,10,8,13,9
E33003496,514,87,375,3,16,8,8,17
E33003497,239,30,185,0,8,3,2,11
E33003498,226,39,154,1,13,2,11,6
E33003499,903,130,739,4,9,2,6,13
E33003500,432,19,405,0,0,1,4,3
E33003501,278,33,220,1,8,3,4,9
E33003502,235,90,104,3,15,5,10,8
E33003503,482,152,229,1,19,9,30,42
E33003504,989,284,630,1,9,12,7,46
E33003505,558,171,242,11,44,22,38,30
E33003506,220,66,126,3,9,1,3,12
E33003507,398,117,234,1,20,1,9,16
E33003508,221,74,111,1,9,1,10,15
E33003509,356,112,157,4,17,3,14,49
E33003510,615,198,304,2,17,2,15,77
E33003511,437,168,241,1,3,4,11,9
E33003512,227,64,155,1,4,2,0,1
E33003513,717,381,274,4,6,1,7,44
E33003514,213,65,119,4,8,4,12,1
E33003515,715,284,298,1,8,1,1,122
E33003516,693,264,270,5,10,5,13,126
E33003517,369,126,212,3,11,0,6,11
E33003518,540,228,295,0,1,2,1,13
E33003519,248,113,110,0,3,1,4,17
E33003520,304,95,158,1,4,1,1,44
E33003521,344,47,285,0,4,0,6,2
E33003522,482,112,360,0,0,1,2,7
E33003523,288,120,137,1,4,2,3,21
E33003524,203,82,93,0,3,0,6,19
E33003525,1119,96,910,4,39,9,43,18
E33003526,207,22,153,0,9,1,5,17
E33003527,292,17,267,0,3,1,1,3
E33003528,432,44,335,5,4,4,17,23
E33003529,4460,223,4043,1,29,10,112,42
E33003530,262,40,202,0,1,2,10,7
E33003531,290,86,166,0,1,3,10,24
E33003532,742,168,504,0,10,1,4,55
E33003533,753,69,653,0,4,1,5,21
E33003534,207,24,161,0,12,1,7,2
E33003535,286,30,248,0,2,1,2,3
E33003536,315,34,253,3,8,3,4,10
E33003537,243,47,185,0,2,0,4,5
E33003538,291,21,258,1,4,1,2,4
E33003539,530,47,453,1,6,3,9,11
E33003540,253,84,103,3,21,4,12,26
E33003541,356,169,115,4,12,5,11,40
E33003542,307,108,114,9,28,4,25,19
E33003543,226,95,87,0,6,1,1,36
E33003544,383,108,193,1,4,7,6,64
E33003545,425,184,206,0,3,0,3,29
E33003546,397,119,251,0,1,2,17,7
E33003547,533,150,361,1,1,4,7,9
E33003548,212,94,105,4,5,0,1,3
E33003549,492,168,223,3,24,6,32,36
E33003550,311,112,138,1,22,6,11,21
E33003551,282,106,122,2,18,7,17,10
E33003552,199,14,174,1,7,0,3,0
E33003553,266,33,199,0,4,2,6,22
E33003554,289,42,222,1,3,6,10,5
E33003555,1597,563,662,2,1,3,9,357
E33003556,1793,65,1681,0,8,2,22,15
E33003557,570,145,293,6,34,19,27,46
E33003558,248,35,169,1,6,3,18,16
E33003559,703,96,517,6,32,9,29,14
E33003560,4379,427,3792,1,16,9,76,58
E33003561,219,47,124,5,5,17,18,3
E33003562,355,60,258,1,4,6,14,12
E33003563,804,97,671,0,7,3,4,22
E33003564,1283,590,535,1,1,4,13,139
E33003565,954,142,753,1,15,9,19,15
E33003566,324,53,161,5,24,24,48,9
E33003567,219,53,116,2,12,4,6,26
E33003568,438,219,172,0,5,2,1,39
E33003569,312,89,173,2,7,2,3,36
E33003570,536,118,358,4,14,9,20,13
E33003571,202,39,132,0,12,0,5,14
E33003572,427,39,374,0,8,0,2,4
E33003573,223,68,114,0,12,10,14,5
E33003574,249,24,198,0,9,1,7,10
E33003575,289,85,141,10,14,2,2,35
E33003576,280,95,123,4,8,3,11,36
E33003577,329,56,219,2,10,5,6,31
E33003578,457,48,360,2,18,3,19,7
E33003579,506,90,387,2,6,9,9,3
E33003580,1050,154,835,1,10,15,25,10
E33003581,304,98,178,1,3,9,13,2
E33003582,228,68,113,5,7,6,11,18
E33003583,318,65,183,2,19,4,16,29
E33003584,228,64,129,0,11,7,8,9
E33003585,215,47,141,4,10,6,6,1
E33003586,565,126,325,5,30,10,18,51
E33003587,824,191,475,2,27,16,41,72
E33003588,954,95,772,1,18,9,48,11
E33003589,913,67,783,1,24,6,20,12
E33003590,273,28,222,0,11,4,5,3
E33003591,2448,840,1505,1,5,18,30,49
E33003592,493,116,318,0,11,10,23,15
E33003593,474,122,253,1,26,17,36,19
E33003594,457,112,279,7,24,10,20,5
E33003595,598,167,321,8,42,18,30,12
E33003596,431,62,296,3,20,11,31,8
E33003597,752,88,581,0,19,12,24,28
E33003598,2153,163,1866,1,17,13,59,34
E33003599,415,62,310,0,11,6,13,13
E33003600,308,62,165,4,15,19,20,23
E33003601,294,89,151,3,9,9,14,19
E33003602,886,158,663,3,9,16,21,16
E33003603,3022,236,2613,4,24,15,117,13
E33003604,666,223,207,11,40,19,35,131
E33003605,227,63,110,2,2,12,17,21
E33003606,1031,114,855,3,16,6,22,15
E33003607,373,19,332,0,7,4,7,4
E33003608,232,36,182,0,9,0,2,3
E33003609,246,43,134,1,16,17,20,15
E33003610,273,96,125,6,23,3,10,10
E33003611,223,71,93,1,24,3,12,19
E33003612,248,91,122,3,8,3,7,14
E33003613,203,79,71,2,9,6,15,21
E33003614,591,260,312,3,1,2,4,9
E33003615,480,181,273,0,1,0,12,13
E33003616,256,35,197,0,7,2,7,8
E33003617,469,52,371,0,20,4,17,5
E33003618,887,86,733,2,18,6,27,15
E33003619,282,83,145,1,9,3,5,36
E33003620,761,343,284,4,6,5,10,109
E33003621,221,74,102,3,15,6,6,15
E33003622,232,46,173,0,5,2,5,1
E33003623,273,119,100,0,7,3,12,32
E33003624,207,51,135,2,10,3,3,3
E33003625,213,29,159,1,5,0,11,8
E33003626,325,156,133,1,5,0,4,26
E33003627,274,106,129,0,5,4,9,21
E33003628,671,105,547,1,3,4,3,8
E33003629,271,22,236,0,5,1,1,6
E33003630,992,129,828,2,5,2,12,14
E33003631,636,73,544,1,7,0,3,8
E33003632,530,51,453,0,8,4,10,4
E33003633,1344,320,991,1,3,3,11,15
E33003634,1506,122,1337,0,2,6,20,19
E33003635,1102,328,720,2,5,9,16,22
E33003636,447,212,183,2,9,1,4,36
E33003637,221,72,124,0,6,5,4,10
E33003638,994,123,773,2,19,14,39,24
E33003639,2043,219,1776,1,7,8,24,8
E33003640,312,65,204,6,16,6,9,6
E33003641,242,82,135,2,7,0,9,7
E33003642,394,130,162,5,33,6,31,27
E33003643,487,198,239,2,11,10,12,15
E33003644,415,69,324,0,8,5,9,0
E33003645,503,195,193,7,38,17,18,35
E33003646,213,41,166,2,2,0,0,2
E33003647,468,91,345,2,5,7,6,12
E33003648,216,55,123,1,14,1,10,12
E33003649,662,198,439,1,0,3,1,20
E33003650,846,77,732,1,5,2,16,13
E33003651,228,58,129,2,15,1,12,11
E33003652,315,87,186,6,16,0,8,12
E33003653,212,58,128,2,6,0,3,15
E33003654,205,59,77,3,22,5,17,22
E33003655,210,63,94,2,17,4,18,12
E33003656,310,71,212,0,4,2,11,10
E33003657,263,62,173,3,10,1,8,6
E33003658,576,127,400,4,14,6,16,9
E33003659,312,140,109,4,16,3,22,18
E33003660,782,384,278,3,20,7,17,73
E33003661,313,75,229,0,2,1,6,0
E33003662,612,263,245,5,10,6,22,61
E33003663,619,248,308,3,23,4,16,17
E33003664,237,62,147,0,6,4,2,16
E33003665,792,165,613,0,1,0,6,7
E33003666,735,276,373,3,11,5,14,53
E33003667,555,36,500,0,0,2,11,6
E33003668,317,67,243,0,0,0,3,4
E33003669,739,449,243,0,2,3,6,36
E33003670,493,128,348,2,1,3,5,6
E33003671,956,95,825,0,4,3,13,16
E33003672,326,158,97,7,15,9,19,21
E33003673,939,109,762,2,22,9,16,19
E33003674,421,146,266,0,0,3,4,2
E33003675,6313,355,5729,7,25,11,122,64
E33003676,207,71,119,0,12,0,2,3
E33003677,298,114,117,4,19,10,24,10
E33003678,250,89,129,1,3,7,6,15
E33003679,425,110,306,1,0,0,5,3
E33003680,785,399,272,0,3,3,6,102
E33003681,306,122,161,0,4,5,7,7
E33003682,376,121,210,0,6,6,13,20
E33003683,398,55,330,1,2,2,1,7
E33003684,231,95,98,1,2,3,2,30
E33003685,549,247,255,0,3,4,2,38
E33003686,475,140,314,4,2,1,7,7
E33003687,433,163,189,0,2,3,6,70
E33003688,265,51,199,4,7,0,2,2
E33003689,431,69,329,3,9,4,8,9
E33003690,527,215,208,4,27,16,25,32
E33003691,487,194,257,0,13,4,11,8
E33003692,249,66,120,6,20,11,14,12
