GeographyCode,WP207WA0001,WP207WA0002,WP207WA0003,WP207WA0004,WP207WA0005,WP207WA0006,WP207WA0007,WP207WA0008,WP207WA0009,WP207WA0010,WP207WA0011,WP207WA0012
W35000010,724,166,106,428,61,30,336,1,11,1,0,12
W35000011,198,71,22,100,10,5,84,1,4,0,1,0
W35000012,300,85,31,172,12,12,148,0,7,1,0,4
W35000013,326,122,57,136,16,7,111,2,7,1,0,3
W35000014,294,96,39,151,8,10,133,0,3,4,0,1
W35000015,294,94,40,150,19,9,122,0,5,1,0,4
W35000016,1022,300,132,546,56,38,451,1,23,4,3,14
W35000017,374,71,26,268,17,13,238,0,6,1,2,0
W35000018,266,62,38,161,17,13,130,1,2,0,0,3
W35000019,308,75,25,203,8,16,179,0,4,0,0,1
W35000020,241,29,21,186,17,8,161,0,3,1,1,0
W35000021,273,113,28,124,10,13,101,0,2,0,0,6
W35000022,856,355,90,390,35,29,326,0,10,2,0,9
W35000023,449,40,22,381,19,16,344,2,2,1,0,3
W35000024,215,45,12,156,5,5,146,0,1,0,0,1
W35000025,578,31,21,517,13,22,482,0,4,1,0,4
W35000026,385,52,29,276,18,17,241,0,7,1,0,20
W35000027,926,161,60,687,50,43,592,2,9,1,1,7
W35000028,3155,787,414,1856,183,163,1505,5,36,16,4,42
W35000029,430,123,58,237,26,19,192,0,6,3,0,3
W35000030,364,123,34,192,16,17,158,1,9,0,0,6
W35000031,410,107,46,240,27,27,185,1,9,0,1,7
W35000032,210,44,21,141,10,7,123,1,2,0,0,2
W35000033,515,88,36,387,27,13,346,1,2,0,0,2
W35000034,284,48,18,208,8,7,192,1,2,1,0,7
W35000035,331,120,19,184,9,6,168,1,5,2,0,1
W35000036,230,34,14,182,7,6,169,0,0,0,0,0
W35000037,283,41,22,215,14,9,192,0,1,1,0,3
W35000038,256,19,20,214,10,14,188,2,2,1,0,0
W35000039,361,49,24,285,15,5,265,0,3,0,0,0
W35000040,1249,75,61,1100,36,46,1016,2,10,3,0,0
W35000041,326,39,20,262,12,11,236,3,2,0,0,3
W35000042,313,167,26,103,18,2,83,0,10,2,0,5
W35000043,745,333,112,272,35,28,208,1,20,2,2,4
W35000044,213,132,20,53,10,8,34,1,6,0,0,2
W35000045,598,421,62,90,6,10,74,0,7,5,1,12
W35000046,1005,448,152,374,76,41,256,1,10,2,0,19
W35000047,313,182,37,86,13,12,61,0,2,1,1,4
W35000048,427,313,43,60,14,8,37,1,5,3,0,3
W35000049,242,133,34,68,6,9,52,1,7,0,0,0
W35000050,392,252,45,67,6,7,53,1,15,3,1,9
W35000051,240,166,27,35,8,8,18,1,7,2,0,3
W35000052,636,449,61,84,10,15,59,0,7,3,0,32
W35000053,280,193,23,51,5,7,39,0,7,2,1,3
W35000054,759,469,76,150,21,14,113,2,19,2,0,43
W35000055,224,118,25,66,8,13,45,0,8,2,2,3
W35000056,233,156,34,29,1,1,27,0,6,4,2,2
W35000057,300,175,43,72,9,10,53,0,4,0,0,6
W35000058,225,169,26,24,5,1,18,0,2,3,0,1
W35000059,259,189,18,44,5,4,34,1,5,1,0,2
W35000060,211,151,16,34,4,1,28,1,4,2,0,4
W35000061,793,351,93,321,23,28,270,0,10,0,2,16
W35000062,526,308,65,117,13,16,88,0,8,4,0,24
W35000063,277,161,33,74,13,6,54,1,8,0,0,1
W35000064,386,237,36,95,11,7,77,0,7,1,1,9
W35000065,454,304,39,87,11,7,69,0,13,4,1,6
W35000066,552,327,63,122,21,14,87,0,22,4,0,14
W35000067,304,178,32,86,12,3,70,1,6,2,0,0
W35000068,359,226,50,75,8,12,55,0,6,2,0,0
W35000069,425,254,58,92,11,7,73,1,14,1,1,5
W35000070,236,134,36,60,8,7,45,0,4,0,0,2
W35000071,598,360,68,141,26,15,99,1,15,6,3,5
W35000072,877,553,106,194,20,14,159,1,14,2,0,8
W35000073,345,259,25,47,6,8,33,0,6,0,0,8
W35000074,365,195,40,109,15,13,81,0,7,2,0,12
W35000075,616,363,57,102,14,9,78,1,9,1,0,84
W35000076,706,339,71,259,46,29,182,2,7,7,1,22
W35000077,273,194,33,32,2,2,28,0,5,1,0,8
W35000078,669,463,50,88,11,11,66,0,12,3,1,52
W35000079,227,105,39,74,9,3,62,0,3,4,0,2
W35000080,770,403,91,240,36,20,183,1,18,5,1,12
W35000081,344,230,24,43,8,4,31,0,4,2,0,41
W35000082,501,382,39,62,10,4,47,1,4,2,2,10
W35000083,647,428,68,118,18,16,83,1,15,5,0,13
W35000084,645,494,42,86,18,7,61,0,14,3,0,6
W35000085,200,166,14,14,1,4,9,0,3,0,1,2
W35000086,243,189,19,29,4,2,23,0,3,0,0,3
W35000087,207,164,14,21,3,0,18,0,2,1,1,4
W35000088,256,175,22,48,5,6,37,0,5,1,0,5
W35000089,300,233,10,35,2,2,31,0,5,4,0,13
W35000090,272,197,23,42,5,4,33,0,5,1,0,4
W35000091,481,369,34,63,9,8,44,2,8,0,0,7
W35000092,302,213,25,58,7,5,46,0,2,3,0,1
W35000093,688,308,85,259,35,19,205,0,14,2,1,19
W35000094,624,288,82,217,20,19,178,0,17,8,0,12
W35000095,449,198,56,177,28,15,131,3,5,3,0,10
W35000096,715,322,79,252,28,17,207,0,12,2,1,47
W35000097,450,213,7,22,4,2,15,1,0,1,0,207
W35000098,514,240,13,24,1,3,20,0,6,0,0,231
W35000099,4609,2378,145,235,39,33,160,3,47,13,1,1790
W35000100,284,165,7,9,3,0,5,1,6,0,0,97
W35000101,1056,554,31,55,9,4,42,0,7,0,0,409
W35000102,594,319,10,16,1,2,13,0,4,1,0,244
W35000103,321,195,10,20,2,2,16,0,1,0,1,94
W35000104,1022,661,35,84,5,4,73,2,14,10,2,216
W35000105,1201,708,34,56,6,7,42,1,13,0,0,390
W35000106,1018,628,35,105,18,11,76,0,17,4,4,225
W35000107,801,474,22,35,2,3,30,0,9,2,0,259
W35000108,1359,518,37,63,8,8,47,0,13,2,0,726
W35000109,345,261,15,29,2,6,21,0,5,0,0,35
W35000110,266,192,12,29,4,3,22,0,3,0,0,30
W35000111,575,428,21,46,11,8,27,0,10,1,0,69
W35000112,585,416,41,67,10,9,48,0,12,2,0,47
W35000113,867,551,64,120,20,9,90,1,11,1,3,117
W35000114,252,189,18,27,6,1,20,0,7,0,1,10
W35000115,766,571,42,82,9,7,64,2,15,7,0,49
W35000116,2002,1314,137,341,52,41,247,1,35,6,4,165
W35000117,227,148,17,34,4,3,27,0,2,0,0,26
W35000118,737,521,45,109,16,8,84,1,14,1,1,46
W35000119,420,258,6,20,3,2,15,0,3,1,0,132
W35000120,1239,853,18,34,9,4,20,1,2,0,1,331
W35000121,297,157,11,14,2,1,11,0,3,0,0,112
W35000122,248,183,12,11,1,1,9,0,3,1,0,38
W35000123,470,266,15,14,4,0,10,0,2,1,0,172
W35000124,255,178,7,10,2,0,7,1,3,0,0,57
W35000125,313,158,10,18,8,1,9,0,4,0,1,122
W35000126,887,442,26,49,3,2,44,0,11,1,0,358
W35000127,239,104,7,7,2,1,4,0,1,1,1,118
W35000128,210,108,5,8,0,1,7,0,2,0,0,87
W35000129,532,215,10,18,6,3,9,0,5,0,0,284
W35000130,2594,1378,73,128,25,21,81,1,15,2,1,997
W35000131,610,252,10,28,5,2,21,0,4,1,0,315
W35000132,1130,571,20,35,8,3,24,0,13,1,0,490
W35000133,576,280,18,21,5,5,11,0,8,1,0,248
W35000134,1156,495,17,47,6,6,35,0,6,0,0,591
W35000135,1183,642,42,67,13,2,52,0,6,4,1,421
W35000136,1147,443,25,29,7,4,18,0,15,2,0,633
W35000137,764,564,39,65,11,4,50,0,10,3,0,83
W35000138,235,184,15,24,6,3,14,1,1,0,0,11
W35000139,618,433,31,71,7,7,57,0,12,7,3,61
W35000140,207,103,10,17,2,1,14,0,4,0,0,73
W35000141,974,610,45,57,10,12,35,0,6,1,0,255
W35000142,683,447,37,96,10,16,70,0,18,3,0,82
W35000143,220,147,16,21,4,6,11,0,3,0,0,33
W35000144,297,241,11,22,3,2,17,0,3,2,1,17
W35000145,869,610,43,99,11,14,74,0,22,9,1,85
W35000146,337,226,26,42,11,5,25,1,8,3,0,32
W35000147,374,273,18,36,5,2,29,0,7,6,0,34
W35000148,381,278,14,38,6,5,27,0,5,2,0,44
W35000149,213,154,14,14,1,1,12,0,6,0,1,24
W35000150,225,165,16,25,3,3,19,0,4,0,0,15
W35000151,244,152,23,36,6,4,26,0,5,1,2,25
W35000152,352,205,24,45,9,6,30,0,7,1,0,70
W35000153,409,311,23,38,7,3,28,0,7,3,0,27
W35000154,890,653,63,85,7,8,69,1,20,5,5,59
W35000155,1197,637,37,109,8,6,95,0,6,4,2,402
W35000156,892,515,43,114,13,14,86,1,21,2,0,197
W35000157,448,277,11,29,6,1,22,0,10,1,1,119
W35000158,864,584,46,49,4,4,41,0,10,2,0,173
W35000159,1803,1306,65,68,7,10,49,2,17,5,1,341
W35000160,1123,734,51,68,7,10,51,0,12,3,0,255
W35000161,528,388,20,26,7,1,18,0,6,0,0,88
W35000162,447,326,16,20,4,1,15,0,7,1,0,77
W35000163,581,394,39,29,5,5,19,0,11,3,1,104
W35000164,1889,1425,70,106,27,11,65,3,31,3,1,253
W35000165,402,318,18,24,5,2,17,0,5,2,0,35
W35000166,775,550,50,61,12,8,41,0,16,3,1,94
W35000167,1924,1480,92,95,19,13,62,1,22,5,0,230
W35000168,656,526,25,67,11,7,49,0,5,1,3,29
W35000169,533,351,31,94,13,14,67,0,14,4,0,39
W35000170,786,496,52,85,12,8,65,0,18,6,1,128
W35000171,1182,709,60,105,10,12,82,1,18,3,3,284
W35000172,198,160,6,13,1,0,12,0,3,2,0,14
W35000173,517,387,32,31,5,3,23,0,8,3,0,56
W35000174,332,268,17,36,4,5,27,0,5,2,0,4
W35000175,551,439,20,57,11,3,41,2,7,3,6,19
W35000176,242,175,18,38,3,4,31,0,6,2,0,3
W35000177,1053,743,83,155,20,14,120,1,31,6,4,31
W35000178,371,140,40,179,16,20,142,1,11,0,0,1
W35000179,207,143,19,34,3,6,25,0,2,1,0,8
W35000180,214,141,12,30,7,2,20,1,13,0,0,18
W35000181,360,233,20,79,10,9,58,2,13,0,0,15
W35000182,245,167,17,42,4,2,36,0,5,3,0,11
W35000183,227,131,23,54,5,3,45,1,5,2,0,12
W35000184,219,155,13,33,4,2,27,0,3,1,0,14
W35000185,233,185,12,23,5,1,17,0,3,1,0,9
W35000186,471,335,34,45,4,3,38,0,12,1,0,44
W35000187,297,198,13,32,7,5,20,0,2,1,1,50
W35000188,323,261,22,24,4,0,20,0,6,3,1,6
W35000189,932,714,58,97,15,8,74,0,14,5,1,43
W35000190,1806,1346,129,184,28,20,133,3,30,3,3,111
W35000191,789,630,40,68,10,5,51,2,15,5,0,31
W35000192,362,296,16,33,8,2,23,0,9,1,0,7
W35000193,213,155,16,26,3,2,21,0,7,3,2,4
W35000194,293,237,12,30,2,3,24,1,4,4,0,6
W35000195,211,178,12,14,0,5,9,0,5,0,0,2
W35000196,533,373,34,94,12,13,69,0,16,7,1,8
W35000197,293,221,19,35,6,5,23,1,5,5,1,7
W35000198,770,528,58,72,10,7,55,0,8,4,0,100
W35000199,222,141,11,29,3,4,22,0,6,1,0,34
W35000200,500,363,27,45,8,4,32,1,11,1,1,52
W35000201,1125,806,42,76,13,8,52,3,7,3,0,191
W35000202,531,342,52,76,15,6,55,0,11,4,0,46
W35000203,707,456,32,53,11,3,39,0,7,2,0,157
W35000204,421,277,23,55,4,6,44,1,7,4,3,52
W35000205,331,184,51,87,28,10,49,0,8,1,0,0
W35000206,570,166,59,330,30,25,273,2,7,5,0,3
W35000207,300,88,38,168,16,12,137,3,6,0,0,0
W35000208,297,83,42,167,16,19,132,0,3,2,0,0
W35000209,326,107,40,175,20,11,143,1,2,1,0,1
W35000210,623,144,37,429,18,16,392,3,11,1,0,1
W35000211,228,108,30,84,7,12,65,0,3,0,0,3
W35000212,390,199,31,140,9,10,121,0,9,2,1,8
W35000213,405,169,36,190,16,8,166,0,5,3,0,2
W35000214,346,196,37,97,5,8,84,0,6,2,2,6
W35000215,576,264,39,252,18,21,211,2,13,3,0,5
W35000216,917,378,101,413,42,41,328,2,11,5,0,9
W35000217,407,288,33,71,14,6,51,0,6,5,0,4
W35000218,420,306,27,76,13,5,58,0,5,1,0,5
W35000219,711,521,58,105,17,13,75,0,14,8,2,3
W35000220,382,272,32,63,7,3,52,1,12,1,0,2
W35000221,1571,1110,115,311,46,34,231,0,27,4,2,2
W35000222,237,182,16,35,2,8,24,1,1,1,0,2
W35000223,297,214,28,38,6,4,27,1,15,1,0,1
W35000224,2707,2040,207,378,68,39,270,1,50,11,2,19
W35000225,872,648,60,150,37,13,99,1,10,1,1,2
W35000226,1668,1370,61,106,20,12,74,0,17,9,0,105
W35000227,587,493,36,45,10,4,30,1,6,2,0,5
W35000228,328,284,16,19,1,1,17,0,8,0,1,0
W35000229,670,564,33,60,8,5,47,0,9,4,0,0
W35000230,227,193,11,21,5,3,13,0,2,0,0,0
W35000231,509,455,19,29,5,5,19,0,3,0,0,3
W35000232,376,311,22,39,6,6,25,2,1,0,0,3
W35000233,246,210,15,14,2,3,9,0,3,2,0,2
W35000234,293,176,18,20,3,4,13,0,3,0,0,76
W35000235,204,164,15,10,1,1,8,0,2,0,0,13
W35000236,888,713,44,99,16,9,73,1,14,1,1,16
W35000237,591,450,40,80,13,4,63,0,16,3,0,2
W35000238,285,207,20,51,7,5,38,1,1,1,0,5
W35000239,239,134,34,62,11,6,45,0,6,2,0,1
W35000240,253,149,38,59,12,11,36,0,2,0,0,5
W35000241,256,228,7,10,2,1,7,0,4,0,0,7
W35000242,331,284,17,25,3,3,19,0,1,2,0,2
W35000243,247,207,10,20,1,3,16,0,6,1,0,3
W35000244,260,218,13,23,5,2,16,0,6,0,0,0
W35000245,700,226,90,361,53,31,276,1,19,3,1,0
W35000246,107,40,16,45,1,6,38,0,5,1,0,0
W35000247,523,176,80,255,38,23,194,0,9,1,1,1
W35000248,1711,1060,184,395,55,33,305,2,49,17,4,2
W35000249,1494,914,202,331,58,25,247,1,40,2,3,2
W35000250,2035,846,270,848,112,99,632,5,37,20,1,13
W35000251,405,139,74,180,12,18,150,0,9,3,0,0
W35000252,260,123,36,95,11,9,75,0,3,2,0,1
W35000253,536,218,79,212,30,24,157,1,17,8,0,2
W35000254,809,238,98,454,52,44,355,3,13,5,1,0
W35000255,347,156,49,133,13,9,111,0,7,2,0,0
W35000256,204,97,28,73,5,9,57,2,5,0,0,1
W35000257,302,123,31,139,7,12,120,0,6,3,0,0
W35000258,357,169,34,139,18,7,114,0,9,5,1,0
W35000259,289,119,34,119,15,9,94,1,6,6,2,3
W35000260,450,204,67,168,17,14,136,1,8,3,0,0
W35000261,612,268,88,239,43,24,170,2,9,5,0,3
W35000262,294,126,46,116,14,19,82,1,3,3,0,0
W35000263,205,83,29,86,10,4,71,1,7,0,0,0
W35000264,489,219,66,197,25,20,150,2,5,2,0,0
W35000265,623,231,66,309,29,22,257,1,10,3,0,4
W35000266,884,582,109,177,38,25,114,0,7,3,0,6
W35000267,465,236,72,140,19,10,109,2,10,5,0,2
W35000268,320,181,40,84,4,10,70,0,10,5,0,0
W35000269,285,147,52,76,9,12,55,0,10,0,0,0
W35000270,758,282,132,322,42,38,241,1,18,3,1,0
W35000271,203,108,40,48,8,2,38,0,5,2,0,0
W35000272,342,192,52,88,16,12,60,0,6,3,0,1
W35000273,226,121,46,53,8,6,39,0,4,1,1,0
W35000274,431,276,63,79,9,7,60,3,8,2,0,3
W35000275,274,150,48,72,6,9,56,1,2,0,1,1
W35000276,805,486,95,205,32,17,156,0,16,2,0,1
W35000277,348,210,40,89,17,11,61,0,4,2,0,3
W35000278,239,133,33,65,11,5,49,0,5,1,0,2
W35000279,239,74,22,135,10,6,119,0,8,0,0,0
W35000280,246,85,30,121,13,8,100,0,8,0,0,2
W35000281,265,105,35,113,16,17,80,0,11,1,0,0
W35000282,217,84,10,118,15,9,94,0,0,0,0,5
W35000283,587,288,72,212,36,22,154,0,13,1,1,0
W35000284,993,386,124,461,71,50,338,2,15,5,1,1
W35000285,281,115,47,108,11,17,79,1,7,2,0,2
W35000286,1540,1240,76,175,33,18,124,0,28,8,2,11
W35000287,1065,828,73,132,10,17,104,1,18,1,1,12
W35000288,1028,774,73,139,26,17,96,0,28,3,0,11
W35000289,829,647,44,98,12,8,77,1,14,5,2,19
W35000290,1280,1067,80,98,17,10,69,2,18,2,1,14
W35000291,409,353,21,29,10,3,16,0,5,0,0,1
W35000292,537,392,37,63,8,6,49,0,11,1,0,33
W35000293,342,298,11,23,1,0,22,0,3,1,0,6
W35000294,294,205,11,19,4,3,12,0,3,1,0,55
W35000295,400,316,13,44,1,15,28,0,20,3,1,3
W35000296,257,228,10,12,3,0,9,0,4,1,0,2
W35000297,1039,881,42,78,6,5,67,0,19,11,1,7
W35000298,355,273,24,42,4,8,30,0,12,2,0,2
W35000299,246,207,16,20,4,2,14,0,1,1,0,1
W35000300,491,376,32,51,9,3,39,0,14,2,0,16
W35000301,241,193,20,22,0,1,21,0,6,0,0,0
W35000302,268,220,14,29,2,1,25,1,1,1,0,3
W35000303,456,344,35,65,1,6,58,0,10,1,0,1
W35000304,528,424,34,51,6,5,40,0,10,2,1,6
W35000305,745,608,55,69,12,4,53,0,11,2,0,0
W35000306,235,209,6,16,3,1,11,1,3,1,0,0
W35000307,234,200,7,14,2,0,12,0,10,0,0,3
W35000308,510,416,22,52,8,5,39,0,10,3,2,5
W35000309,375,308,14,35,5,3,27,0,10,0,0,8
W35000310,284,245,12,18,7,0,11,0,8,1,0,0
W35000311,234,213,6,11,2,1,8,0,4,0,0,0
W35000312,221,182,12,10,1,1,8,0,4,0,0,13
W35000313,505,399,31,72,6,8,58,0,2,1,0,0
W35000314,202,147,13,36,4,1,31,0,4,2,0,0
W35000315,198,159,8,21,4,2,15,0,4,1,0,5
W35000316,363,326,15,17,6,1,10,0,4,0,0,1
W35000317,534,447,39,37,7,3,27,0,9,2,0,0
W35000318,794,650,40,85,11,5,69,0,14,3,0,2
W35000319,435,363,17,43,7,7,29,0,6,2,0,4
W35000320,208,166,14,26,6,2,18,0,2,0,0,0
W35000321,534,458,26,35,10,5,20,0,10,1,0,4
W35000322,392,312,31,36,9,7,20,0,9,3,0,1
W35000323,250,199,18,27,2,2,23,0,6,0,0,0
W35000324,222,185,16,17,1,2,14,0,2,1,0,1
W35000325,864,680,50,98,13,13,72,0,12,6,1,17
W35000326,691,572,45,60,10,3,46,1,9,2,0,3
W35000327,441,357,19,52,5,5,42,0,11,1,0,1
W35000328,776,596,53,86,13,9,63,1,9,5,1,26
W35000329,683,510,67,81,15,7,59,0,16,5,0,4
W35000330,213,171,16,19,0,0,19,0,4,0,0,3
W35000331,479,355,30,65,14,8,43,0,14,3,0,12
W35000332,304,252,21,24,6,4,14,0,4,1,0,2
W35000333,472,378,26,54,11,7,36,0,9,4,0,1
W35000334,289,245,16,22,2,2,18,0,3,0,0,3
W35000335,408,312,32,56,6,5,45,0,5,0,0,3
W35000336,210,177,6,18,1,1,16,0,4,1,0,4
W35000337,287,232,17,29,1,4,23,1,5,0,1,3
W35000338,383,303,29,39,3,2,34,0,8,3,1,0
W35000339,247,189,14,35,6,5,24,0,5,3,0,1
W35000340,3887,2802,329,623,91,68,463,1,76,18,2,37
W35000341,442,367,24,41,5,2,34,0,4,2,1,3
W35000342,264,213,19,27,6,3,18,0,3,1,0,1
W35000343,716,580,45,71,8,5,57,1,12,4,0,4
W35000344,710,572,41,78,8,8,62,0,17,1,0,1
W35000345,696,590,29,61,3,7,51,0,12,3,0,1
W35000346,286,244,12,25,4,3,17,1,4,0,0,1
W35000347,984,858,52,49,9,3,37,0,20,4,0,1
W35000348,1731,1425,103,144,17,19,106,2,46,8,0,5
W35000349,2150,1722,116,245,43,31,171,0,45,15,5,2
W35000350,1382,1112,69,139,26,12,101,0,37,5,1,19
W35000351,1239,997,81,117,21,13,83,0,33,5,0,6
W35000352,906,647,79,148,26,11,111,0,28,4,0,0
W35000353,927,731,56,93,18,6,68,1,16,3,0,28
W35000354,376,312,16,37,3,4,30,0,5,1,1,4
W35000355,373,294,17,55,11,3,41,0,2,0,1,4
W35000356,418,290,34,81,13,8,59,1,10,1,1,1
W35000357,1105,935,45,105,17,11,77,0,12,3,1,4
W35000358,1416,1156,85,136,21,18,97,0,25,4,2,8
W35000359,211,183,7,13,1,1,11,0,6,0,0,2
W35000360,5315,4527,248,371,55,52,263,1,81,15,5,68
W35000361,248,210,13,14,4,5,5,0,8,1,0,2
W35000362,794,676,33,68,14,9,45,0,7,0,1,9
W35000363,278,237,11,28,7,1,20,0,1,1,0,0
W35000364,287,228,20,25,2,5,18,0,11,1,0,2
W35000365,624,496,45,64,11,4,49,0,10,6,1,2
W35000366,215,180,12,15,3,2,10,0,3,1,1,3
W35000367,397,323,22,39,6,4,29,0,7,4,0,2
W35000368,310,254,22,30,4,6,20,0,4,0,0,0
W35000369,231,173,15,34,4,2,28,0,5,3,1,0
W35000370,248,200,13,26,6,3,17,0,4,1,0,4
W35000371,327,260,19,38,12,4,22,0,7,0,2,1
W35000372,250,216,11,21,1,1,18,1,2,0,0,0
W35000373,755,560,59,114,10,10,94,0,14,6,2,0
W35000374,517,322,57,108,16,19,73,0,15,4,0,11
W35000375,279,191,33,50,8,7,35,0,3,1,0,1
W35000376,442,371,25,33,6,4,23,0,6,4,0,3
W35000377,301,257,16,21,3,4,14,0,3,2,0,2
W35000378,300,235,15,37,7,3,27,0,7,4,0,2
W35000379,225,202,8,12,3,2,7,0,2,1,0,0
W35000380,399,368,10,15,3,1,11,0,4,0,0,2
W35000381,333,292,15,14,4,1,9,0,10,0,0,2
W35000382,429,388,11,20,4,2,14,0,4,2,1,3
W35000383,368,325,12,17,3,4,10,0,4,0,0,10
W35000384,2512,2044,138,262,29,37,194,2,52,7,1,8
W35000385,345,304,14,21,2,2,17,0,5,1,0,0
W35000386,818,652,31,58,8,4,44,2,13,4,0,60
W35000387,251,224,2,15,1,1,13,0,6,0,0,4
W35000388,393,333,14,35,5,1,28,1,0,1,0,10
W35000389,469,404,20,19,3,2,14,0,6,0,0,20
W35000390,533,486,15,21,3,1,17,0,4,2,0,5
W35000391,436,393,9,23,5,2,16,0,3,1,0,7
W35000392,3688,3200,158,228,25,27,174,2,60,10,2,30
W35000393,314,250,18,29,4,7,18,0,5,2,0,10
W35000394,296,256,12,16,3,2,11,0,4,0,0,8
W35000395,941,793,40,65,7,9,49,0,14,1,1,27
W35000396,431,367,13,37,2,5,30,0,5,0,1,8
W35000397,264,228,14,10,0,1,9,0,5,1,0,6
W35000398,229,201,9,14,1,0,13,0,4,0,0,1
W35000399,293,266,11,10,2,1,7,0,4,0,0,2
W35000400,338,292,13,22,0,2,20,0,5,6,0,0
W35000401,300,249,15,21,0,1,20,0,13,1,1,0
W35000402,219,184,8,16,1,1,14,0,7,2,1,1
W35000403,292,226,15,29,2,2,25,0,5,1,1,15
W35000404,896,767,40,60,7,13,39,1,26,3,0,0
W35000405,514,438,22,37,6,5,26,0,11,5,1,0
W35000406,257,228,14,10,0,0,10,0,2,2,0,1
W35000407,1913,1601,81,157,18,21,115,3,54,12,1,7
W35000408,1102,900,61,105,11,11,83,0,28,6,1,1
W35000409,710,586,35,65,7,4,54,0,15,0,3,6
W35000410,756,670,19,49,4,7,38,0,14,3,1,0
W35000411,866,754,27,62,8,9,45,0,16,5,1,1
W35000412,939,842,31,50,8,2,40,0,10,3,0,3
W35000413,224,191,11,13,1,3,9,0,7,2,0,0
W35000414,336,302,9,16,0,0,16,0,6,0,1,2
W35000415,360,310,18,21,1,1,19,0,7,3,0,1
W35000416,1057,917,47,68,9,5,54,0,11,4,0,10
W35000417,340,300,9,28,2,4,22,0,3,0,0,0
W35000418,244,211,4,25,1,1,23,0,2,2,0,0
W35000419,464,384,11,54,7,7,40,0,8,3,0,4
W35000420,691,599,18,50,2,4,43,1,8,2,0,14
W35000421,940,844,25,52,7,7,38,0,11,1,0,7
W35000422,571,493,17,40,4,8,28,0,7,2,2,10
W35000423,607,498,23,59,10,4,44,1,14,2,1,10
W35000424,2496,2182,86,172,28,9,135,0,40,5,2,9
W35000425,795,693,21,48,5,8,35,0,18,1,0,14
W35000426,1060,893,43,77,6,10,60,1,16,2,1,28
W35000427,1025,894,33,74,15,4,54,1,13,6,1,4
W35000428,257,173,7,12,2,1,9,0,2,0,0,63
W35000429,227,202,6,17,2,1,14,0,1,0,1,0
W35000430,264,216,9,21,10,1,10,0,13,0,0,5
W35000431,348,306,13,19,1,1,16,1,4,1,0,5
W35000432,545,483,21,33,5,2,25,1,5,1,0,2
W35000433,630,434,29,138,6,5,127,0,11,1,0,17
W35000434,778,688,27,39,4,8,27,0,14,3,1,6
W35000435,1130,850,60,173,16,17,139,1,28,2,0,17
W35000436,272,229,10,20,0,0,20,0,7,2,1,3
W35000437,606,531,21,36,6,2,27,1,7,4,0,7
W35000438,686,607,29,34,5,2,27,0,10,4,1,1
W35000439,433,382,18,27,3,2,22,0,4,1,0,1
W35000440,322,257,17,40,3,2,35,0,4,1,0,3
W35000441,463,386,23,41,3,8,30,0,8,4,0,1
W35000442,367,326,14,21,0,1,20,0,3,1,2,0
W35000443,1176,973,50,101,10,10,81,0,26,4,1,21
W35000444,2339,2047,79,143,15,23,105,0,34,6,1,29
W35000445,220,182,11,15,3,0,12,0,2,0,0,10
W35000446,719,583,46,70,5,4,61,0,17,1,0,2
W35000447,270,208,12,32,3,2,26,1,11,4,1,2
W35000448,291,225,17,42,4,2,36,0,4,2,1,0
W35000449,420,349,14,42,6,2,34,0,11,3,0,1
W35000450,309,246,13,37,1,2,34,0,7,4,0,2
W35000451,411,325,18,50,3,4,43,0,12,1,0,5
W35000452,333,277,17,27,1,2,24,0,8,2,1,1
W35000453,277,240,7,21,0,2,19,0,6,2,0,1
W35000454,414,344,21,37,3,5,29,0,7,3,0,2
W35000455,399,341,17,36,1,3,32,0,3,1,0,1
W35000456,630,532,18,41,3,3,35,0,9,0,0,30
W35000457,247,203,11,18,2,0,16,0,4,0,0,11
W35000458,622,518,21,50,7,2,41,0,12,6,1,14
W35000459,968,807,35,80,9,11,60,0,20,5,0,21
W35000460,1219,1060,37,88,6,6,76,0,23,4,0,7
W35000461,640,511,23,90,3,5,82,0,7,4,5,0
W35000462,3389,2797,155,324,37,40,247,0,67,16,4,26
W35000463,264,203,15,30,1,2,27,0,4,1,0,11
W35000464,236,198,8,23,0,1,22,0,4,3,0,0
W35000465,908,711,21,136,12,5,117,2,25,7,1,7
W35000466,369,312,7,26,2,2,22,0,7,2,0,15
W35000467,436,373,13,29,2,1,26,0,3,2,0,16
W35000468,323,267,3,37,3,5,28,1,8,0,0,8
W35000469,220,193,6,14,2,0,12,0,6,0,1,0
W35000470,275,244,8,17,2,0,14,1,5,0,1,0
W35000471,225,203,3,18,1,0,17,0,1,0,0,0
W35000472,1220,1027,49,105,12,11,82,0,26,9,1,3
W35000473,381,310,20,42,2,3,37,0,7,0,2,0
W35000474,1104,1005,30,47,8,5,34,0,4,3,1,14
W35000475,940,791,49,67,4,5,56,2,19,6,4,4
W35000476,1011,841,27,120,3,5,110,2,13,7,1,2
W35000477,1146,1001,26,65,7,8,49,1,17,3,0,34
W35000478,434,397,12,17,3,0,14,0,4,0,0,4
W35000479,829,725,19,45,5,2,38,0,11,4,2,23
W35000480,201,176,7,16,3,1,12,0,1,1,0,0
W35000481,256,194,10,42,4,4,34,0,6,2,0,2
W35000482,591,501,26,39,3,1,35,0,22,3,0,0
W35000483,595,521,12,40,4,0,35,1,16,5,0,1
W35000484,297,254,17,17,2,1,14,0,7,1,1,0
