GeographyCode,WP206WA0001,WP206WA0002,WP206WA0003,WP206WA0004,WP206WA0005,WP206WA0006,WP206WA0007,WP206WA0008
W35000168,656,526,86,67,62,53,76,29
W35000169,533,351,115,94,99,71,112,39
W35000170,786,496,141,85,97,72,110,128
W35000171,1182,709,163,105,115,89,129,284
W35000172,198,160,19,13,17,14,18,14
W35000173,517,387,62,31,37,26,42,56
W35000174,332,268,55,36,39,29,43,4
W35000175,551,439,76,57,54,52,73,19
W35000176,242,175,58,38,43,33,46,3
W35000177,1053,743,243,155,171,131,196,31
W35000178,371,140,210,179,173,143,190,1
W35000179,207,143,50,34,34,26,37,8
W35000180,214,141,41,30,35,21,43,18
W35000181,360,233,96,79,80,60,92,15
W35000182,245,167,58,42,46,39,50,11
W35000183,227,131,75,54,55,48,61,12
W35000184,219,155,44,33,33,28,37,14
W35000185,233,185,35,23,22,18,27,9
W35000186,471,335,86,45,54,39,58,44
W35000187,297,198,43,32,28,22,36,50
W35000188,323,261,47,24,29,24,34,6
W35000189,932,714,153,97,101,80,117,43
W35000190,1806,1346,300,184,186,142,220,111
W35000191,789,630,104,68,76,58,88,31
W35000192,362,296,53,33,35,24,43,7
W35000193,213,155,45,26,33,26,38,4
W35000194,293,237,43,30,35,29,38,6
W35000195,211,178,28,14,19,9,19,2
W35000196,533,373,134,94,105,77,118,8
W35000197,293,221,52,35,38,30,46,7
W35000198,770,528,118,72,74,59,84,100
W35000199,222,141,40,29,33,23,36,34
W35000200,500,363,76,45,48,35,58,52
W35000201,1125,806,112,76,70,58,86,191
W35000202,531,342,125,76,76,59,91,46
W35000203,707,456,83,53,51,41,62,157
W35000204,421,277,78,55,61,52,69,52
W35000205,331,184,134,87,68,50,96,0
W35000206,570,166,364,330,310,280,342,3
W35000207,300,88,201,168,155,140,174,0
W35000208,297,83,196,167,156,134,172,0
W35000209,326,107,204,175,157,145,178,1
W35000210,623,144,454,429,420,396,441,1
W35000211,228,108,113,84,80,65,87,3
W35000212,390,199,165,140,142,124,152,8
W35000213,405,169,219,190,182,169,198,2
W35000214,346,196,132,97,100,88,107,6
W35000215,576,264,283,252,248,216,268,5
W35000216,917,378,494,413,385,335,429,9
W35000217,407,288,103,71,68,56,82,4
W35000218,420,306,97,76,69,59,82,5
W35000219,711,521,163,105,110,85,129,3
W35000220,382,272,101,63,68,54,76,2
W35000221,1571,1110,428,311,296,237,344,2
W35000222,237,182,50,35,34,26,37,2
W35000223,297,214,76,38,47,29,54,1
W35000224,2707,2040,574,378,370,284,441,19
W35000225,872,648,201,150,123,102,162,2
W35000226,1668,1370,162,106,112,83,132,105
W35000227,587,493,80,45,42,33,53,5
W35000228,328,284,36,19,26,18,28,0
W35000229,670,564,92,60,65,51,73,0
W35000230,227,193,32,21,18,13,23,0
W35000231,509,455,43,29,27,19,32,3
W35000232,376,311,58,39,32,27,40,3
W35000233,246,210,32,14,17,11,19,2
W35000234,293,176,35,20,20,13,23,76
W35000235,204,164,24,10,11,8,12,13
W35000236,888,713,137,99,97,76,115,16
W35000237,591,450,119,80,86,66,99,2
W35000238,285,207,63,51,45,40,53,5
W35000239,239,134,95,62,59,47,70,1
W35000240,253,149,92,59,49,36,61,5
W35000241,256,228,14,10,12,7,14,7
W35000242,331,284,40,25,25,21,28,2
W35000243,247,207,29,20,26,17,27,3
W35000244,260,218,33,23,24,16,29,0
W35000245,700,226,427,361,329,281,384,0
W35000246,107,40,58,45,50,39,51,0
W35000247,523,176,318,255,227,196,266,1
W35000248,1711,1060,575,395,404,328,465,2
W35000249,1494,914,521,331,314,253,376,2
W35000250,2035,846,1055,848,788,658,906,13
W35000251,405,139,244,180,180,153,192,0
W35000252,260,123,122,95,89,77,100,1
W35000253,536,218,287,212,206,166,237,2
W35000254,809,238,522,454,417,364,473,0
W35000255,347,156,172,133,129,113,142,0
W35000256,204,97,96,73,71,59,78,1
W35000257,302,123,158,139,141,123,148,0
W35000258,357,169,170,139,135,120,154,0
W35000259,289,119,152,119,115,103,133,3
W35000260,450,204,230,168,161,140,179,0
W35000261,612,268,294,239,208,177,253,3
W35000262,294,126,156,116,107,86,122,0
W35000263,205,83,111,86,82,72,93,0
W35000264,489,219,241,197,177,154,204,0
W35000265,623,231,353,309,292,261,322,4
W35000266,884,582,272,177,149,117,187,6
W35000267,465,236,208,140,134,116,155,2
W35000268,320,181,128,84,95,75,99,0
W35000269,285,147,123,76,77,55,86,0
W35000270,758,282,429,322,300,246,344,0
W35000271,203,108,88,48,47,40,55,0
W35000272,342,192,124,88,81,63,97,1
W35000273,226,121,94,53,50,41,59,0
W35000274,431,276,141,79,77,65,89,3
W35000275,274,150,114,72,67,58,75,1
W35000276,805,486,278,205,191,158,223,1
W35000277,348,210,113,89,78,63,95,3
W35000278,239,133,92,65,60,50,71,2
W35000279,239,74,153,135,133,119,143,0
W35000280,246,85,139,121,116,100,129,2
W35000281,265,105,147,113,109,81,125,0
W35000282,217,84,117,118,103,94,118,5
W35000283,587,288,274,212,190,156,227,0
W35000284,993,386,550,461,408,346,482,1
W35000285,281,115,145,108,105,82,117,2
W35000286,1540,1240,235,175,178,134,213,11
W35000287,1065,828,200,132,140,107,152,12
W35000288,1028,774,202,139,144,99,170,11
W35000289,829,647,140,98,104,85,119,19
W35000290,1280,1067,173,98,99,74,119,14
W35000291,409,353,50,29,24,16,34,1
W35000292,537,392,101,63,67,50,75,33
W35000293,342,298,34,23,26,23,27,6
W35000294,294,205,30,19,19,13,23,55
W35000295,400,316,45,44,66,32,68,3
W35000296,257,228,22,12,14,10,17,2
W35000297,1039,881,127,78,102,79,109,7
W35000298,355,273,71,42,52,32,56,2
W35000299,246,207,35,20,18,15,22,1
W35000300,491,376,82,51,58,41,67,16
W35000301,241,193,42,22,28,21,28,0
W35000302,268,220,41,29,28,27,31,3
W35000303,456,344,94,65,75,59,76,1
W35000304,528,424,83,51,57,43,64,6
W35000305,745,608,122,69,70,55,82,0
W35000306,235,209,21,16,16,13,20,0
W35000307,234,200,21,14,22,12,24,3
W35000308,510,416,77,52,57,44,67,5
W35000309,375,308,49,35,40,27,45,8
W35000310,284,245,34,18,20,12,27,0
W35000311,234,213,18,11,13,8,15,0
W35000312,221,182,22,10,13,8,14,13
W35000313,505,399,101,72,69,59,75,0
W35000314,202,147,49,36,38,33,42,0
W35000315,198,159,30,21,22,16,26,5
W35000316,363,326,30,17,15,10,21,1
W35000317,534,447,75,37,41,29,48,0
W35000318,794,650,123,85,91,72,102,2
W35000319,435,363,54,43,44,31,51,4
W35000320,208,166,39,26,22,18,28,0
W35000321,534,458,63,35,36,21,46,4
W35000322,392,312,68,36,39,23,48,1
W35000323,250,199,42,27,31,23,33,0
W35000324,222,185,36,17,19,15,20,1
W35000325,864,680,147,98,103,79,117,17
W35000326,691,572,101,60,60,49,71,3
W35000327,441,357,69,52,59,43,64,1
W35000328,776,596,136,86,86,70,101,26
W35000329,683,510,149,81,87,64,102,4
W35000330,213,171,36,19,23,19,23,3
W35000331,479,355,92,65,68,46,82,12
W35000332,304,252,44,24,23,15,29,2
W35000333,472,378,83,54,56,40,67,1
W35000334,289,245,37,22,23,18,25,3
W35000335,408,312,85,56,55,45,61,3
W35000336,210,177,24,18,22,17,23,4
W35000337,287,232,44,29,32,25,35,3
W35000338,383,303,70,39,47,38,51,0
W35000339,247,189,51,35,37,27,43,1
W35000340,3887,2802,928,623,625,484,719,37
W35000341,442,367,62,41,42,37,48,3
W35000342,264,213,39,27,25,19,31,1
W35000343,716,580,116,71,78,62,87,4
W35000344,710,572,122,78,88,63,96,1
W35000345,696,590,96,61,73,54,76,1
W35000346,286,244,34,25,24,18,29,1
W35000347,984,858,98,49,64,41,73,1
W35000348,1731,1425,244,144,179,116,198,5
W35000349,2150,1722,356,245,262,191,310,2
W35000350,1382,1112,214,139,155,107,182,19
W35000351,1239,997,197,117,134,88,155,6
W35000352,906,647,227,148,154,115,180,0
W35000353,927,731,151,93,93,72,112,28
W35000354,376,312,54,37,40,32,44,4
W35000355,373,294,63,55,46,42,58,4
W35000356,418,290,111,81,78,62,93,1
W35000357,1105,935,147,105,103,81,121,4
W35000358,1416,1156,217,136,144,103,167,8
W35000359,211,183,20,13,18,11,19,2
W35000360,5315,4527,623,371,411,284,472,68
W35000361,248,210,29,14,19,6,23,2
W35000362,794,676,98,68,61,46,76,9
W35000363,278,237,35,28,23,21,30,0
W35000364,287,228,49,25,35,19,37,2
W35000365,624,496,110,64,69,56,81,2
W35000366,215,180,27,15,16,12,20,3
W35000367,397,323,61,39,44,33,50,2
W35000368,310,254,51,30,30,20,34,0
W35000369,231,173,48,34,38,32,43,0
W35000370,248,200,36,26,25,18,31,4
W35000371,327,260,56,38,33,24,47,1
W35000372,250,216,29,21,21,19,23,0
W35000373,755,560,169,114,124,102,136,0
W35000374,517,322,157,108,111,77,127,11
W35000375,279,191,82,50,46,36,54,1
W35000376,442,371,61,33,37,27,43,3
W35000377,301,257,34,21,23,16,26,2
W35000378,300,235,53,37,41,31,48,2
W35000379,225,202,19,12,12,8,15,0
W35000380,399,368,22,15,16,11,19,2
W35000381,333,292,31,14,20,9,24,2
W35000382,429,388,28,20,22,17,27,3
W35000383,368,325,30,17,18,10,21,10
W35000384,2512,2044,402,262,290,204,322,8
W35000385,345,304,36,21,25,18,27,0
W35000386,818,652,90,58,65,50,75,60
W35000387,251,224,20,15,20,13,21,4
W35000388,393,333,46,35,30,30,36,10
W35000389,469,404,37,19,22,14,25,20
W35000390,533,486,34,21,24,19,27,5
W35000391,436,393,32,23,22,17,27,7
W35000392,3688,3200,374,228,271,188,300,30
W35000393,314,250,46,29,32,20,36,10
W35000394,296,256,30,16,17,11,20,8
W35000395,941,793,103,65,73,51,81,27
W35000396,431,367,48,37,40,31,43,8
W35000397,264,228,26,10,16,10,16,6
W35000398,229,201,21,14,17,13,18,1
W35000399,293,266,20,10,12,7,14,2
W35000400,338,292,34,22,33,26,33,0
W35000401,300,249,37,21,35,22,36,0
W35000402,219,184,28,16,24,17,26,1
W35000403,292,226,40,29,33,27,36,15
W35000404,896,767,101,60,81,43,89,0
W35000405,514,438,58,37,47,32,54,0
W35000406,257,228,22,10,14,12,14,1
W35000407,1913,1601,238,157,202,131,224,7
W35000408,1102,900,165,105,128,90,140,1
W35000409,710,586,97,65,73,57,83,6
W35000410,756,670,68,49,62,42,67,0
W35000411,866,754,85,62,75,51,84,1
W35000412,939,842,77,50,55,43,63,3
W35000413,224,191,24,13,21,11,22,0
W35000414,336,302,23,16,22,17,23,2
W35000415,360,310,42,21,30,22,31,1
W35000416,1057,917,112,68,74,58,83,10
W35000417,340,300,39,28,29,22,31,0
W35000418,244,211,28,25,28,25,29,0
W35000419,464,384,63,54,58,43,65,4
W35000420,691,599,67,50,57,46,60,14
W35000421,940,844,73,52,57,39,64,7
W35000422,571,493,57,40,45,32,51,10
W35000423,607,498,81,59,64,48,76,10
W35000424,2496,2182,259,172,189,142,219,9
W35000425,795,693,71,48,62,36,67,14
W35000426,1060,893,119,77,88,64,96,28
W35000427,1025,894,103,74,77,62,94,4
W35000428,257,173,19,12,12,9,14,63
W35000429,227,202,20,17,16,15,19,0
W35000430,264,216,29,21,24,10,34,5
W35000431,348,306,31,19,22,18,24,5
W35000432,545,483,53,33,33,27,39,2
W35000433,630,434,165,138,144,128,150,17
W35000434,778,688,67,39,52,31,57,6
W35000435,1130,850,238,173,186,142,203,17
W35000436,272,229,29,20,29,23,30,3
W35000437,606,531,55,36,40,32,47,7
W35000438,686,607,61,34,43,32,49,1
W35000439,433,382,44,27,29,23,32,1
W35000440,322,257,55,40,42,36,45,3
W35000441,463,386,62,41,50,34,53,1
W35000442,367,326,37,21,25,23,27,0
W35000443,1176,973,158,101,121,86,132,21
W35000444,2339,2047,214,143,168,112,184,29
W35000445,220,182,24,15,14,12,17,10
W35000446,719,583,110,70,83,62,88,2
W35000447,270,208,40,32,43,32,48,2
W35000448,291,225,54,42,44,39,49,0
W35000449,420,349,55,42,50,37,56,1
W35000450,309,246,52,37,47,38,48,2
W35000451,411,325,65,50,60,44,63,5
W35000452,333,277,45,27,36,27,38,1
W35000453,277,240,31,21,29,21,29,1
W35000454,414,344,58,37,44,32,47,2
W35000455,399,341,49,36,39,33,40,1
W35000456,630,532,58,41,47,35,50,30
W35000457,247,203,28,18,20,16,22,11
W35000458,622,518,73,50,61,48,69,14
W35000459,968,807,114,80,96,65,105,21
W35000460,1219,1060,122,88,109,80,115,7
W35000461,640,511,116,90,98,91,106,0
W35000462,3389,2797,484,324,370,267,411,26
W35000463,264,203,45,30,34,28,35,11
W35000464,236,198,36,23,30,25,30,0
W35000465,908,711,160,136,154,127,169,7
W35000466,369,312,38,26,33,24,35,15
W35000467,436,373,38,29,32,28,34,16
W35000468,323,267,43,37,41,29,45,8
W35000469,220,193,20,14,18,13,21,0
W35000470,275,244,24,17,19,16,23,0
W35000471,225,203,20,18,18,17,19,0
W35000472,1220,1027,154,105,128,92,141,3
W35000473,381,310,65,42,47,39,51,0
W35000474,1104,1005,70,47,46,38,55,14
W35000475,940,791,120,67,86,68,96,4
W35000476,1011,841,144,120,135,120,141,2
W35000477,1146,1001,87,65,77,53,85,34
W35000478,434,397,26,17,18,14,21,4
W35000479,829,725,64,45,55,44,62,23
W35000480,201,176,23,16,15,13,18,0
W35000481,256,194,50,42,46,36,50,2
W35000482,591,501,75,39,61,38,64,0
W35000483,595,521,52,40,56,41,61,1
W35000484,297,254,37,17,23,16,26,0
W35000485,426,366,48,30,41,28,43,1
W35000486,936,764,138,89,108,76,117,0
W35000487,216,195,16,8,14,6,14,1
W35000488,322,280,36,24,26,22,29,0
W35000489,211,184,23,10,13,8,14,1
W35000490,1358,1189,132,105,104,83,118,15
W35000491,511,427,73,64,64,60,66,7
W35000492,300,244,44,32,36,28,41,4
W35000493,293,248,40,24,24,18,30,0
W35000494,747,639,69,47,55,41,61,26
W35000495,165,150,12,11,12,11,12,0
W35000496,692,588,52,43,47,39,55,36
W35000497,287,250,30,18,23,19,24,1
W35000498,268,234,25,20,21,18,24,3
W35000499,246,221,21,18,19,15,20,0
W35000500,470,402,59,43,42,38,48,1
W35000501,341,305,24,21,19,14,23,5
W35000502,414,376,22,17,20,17,21,13
W35000503,913,835,48,32,32,22,37,21
W35000504,780,697,59,43,43,34,52,13
W35000505,247,223,20,16,18,16,18,1
W35000506,938,843,65,48,55,44,62,14
W35000507,792,634,113,88,97,73,105,22
W35000508,376,317,49,31,36,28,39,1
W35000509,275,232,33,29,24,20,32,1
W35000510,496,442,39,33,30,26,36,10
W35000511,342,313,19,16,23,14,24,2
W35000512,719,648,51,41,50,36,54,1
W35000513,499,451,37,31,30,24,34,3
W35000514,787,705,71,52,53,45,60,2
W35000515,612,461,78,54,57,45,61,66
W35000516,694,556,89,74,79,62,91,26
W35000517,884,680,108,75,81,66,88,78
W35000518,206,158,43,29,33,25,34,0
W35000519,298,260,34,26,25,22,30,1
W35000520,300,267,24,23,24,18,27,2
W35000521,734,676,36,27,28,20,31,12
W35000522,1474,1242,178,149,175,134,190,10
W35000523,414,346,58,53,61,49,63,0
W35000524,793,691,87,58,63,52,69,2
W35000525,728,559,42,36,36,24,45,113
W35000526,828,749,61,49,55,45,62,2
W35000527,302,258,31,24,24,18,28,6
W35000528,363,330,18,13,16,12,18,8
W35000529,344,309,22,11,18,10,20,3
W35000530,517,466,31,24,33,21,35,10
W35000531,420,386,19,16,16,15,21,9
W35000532,863,810,24,22,24,15,29,16
W35000533,554,491,42,26,31,24,35,15
W35000534,687,615,53,50,51,41,56,1
W35000535,466,431,31,20,23,17,27,1
W35000536,412,342,49,47,53,44,58,5
W35000537,709,615,69,60,69,52,72,5
W35000538,700,655,32,24,27,25,32,4
W35000539,256,227,19,18,19,15,21,3
W35000540,270,229,25,25,22,18,30,4
W35000541,470,393,48,50,50,41,57,8
W35000542,293,236,32,19,20,17,21,21
W35000543,1713,1541,90,63,71,53,78,67
W35000544,700,616,64,47,48,44,60,5
W35000545,435,395,15,16,17,13,22,14
W35000546,203,165,25,17,16,15,18,11
W35000547,466,425,21,22,24,20,28,9
W35000548,1507,1341,108,77,83,62,97,38
W35000549,1066,1002,54,39,45,34,46,4
W35000550,2538,2225,212,158,156,122,190,57
W35000551,640,536,39,28,25,23,32,54
W35000552,552,476,57,35,39,31,42,13
W35000553,377,327,31,19,19,16,25,14
W35000554,236,215,18,12,9,7,14,1
W35000555,448,397,32,35,31,24,38,5
W35000556,1013,885,103,73,78,62,86,5
W35000557,352,312,29,27,30,24,32,3
W35000558,254,231,14,11,12,10,12,6
W35000559,296,277,11,10,12,7,13,5
W35000560,341,309,26,19,16,13,21,3
W35000561,403,345,44,34,38,34,44,0
W35000562,217,195,15,8,10,7,10,6
W35000563,593,386,33,30,32,24,35,165
W35000564,311,212,12,7,12,7,13,81
W35000565,278,191,15,10,12,11,12,71
W35000566,536,479,33,21,25,19,28,17
W35000567,677,564,77,67,61,47,77,22
W35000568,310,250,18,16,13,12,18,40
W35000569,222,200,12,10,12,9,13,7
W35000570,1085,942,57,42,48,40,55,70
W35000571,774,562,23,16,16,13,21,180
W35000572,643,490,25,18,17,13,22,122
W35000573,246,212,21,18,19,17,25,5
W35000574,657,571,57,46,50,40,55,14
W35000575,241,169,15,16,16,14,17,52
W35000576,317,244,22,21,20,15,24,45
W35000577,323,221,25,19,20,16,21,75
W35000578,273,186,15,13,13,11,17,68
W35000579,694,481,33,26,30,18,36,167
W35000580,1197,915,45,31,27,23,34,227
W35000581,223,145,14,10,14,8,14,63
W35000582,560,521,27,16,16,14,18,5
W35000583,295,268,22,17,15,13,18,3
W35000584,345,318,16,14,18,13,19,4
W35000585,829,712,73,59,69,56,77,15
W35000586,713,575,55,44,45,39,52,73
W35000587,530,460,50,31,30,22,36,14
W35000588,1081,982,47,37,37,33,45,41
W35000589,418,383,18,13,9,7,15,13
W35000590,340,306,17,11,10,7,12,15
W35000591,801,759,26,21,21,16,26,10
W35000592,243,232,9,4,5,3,5,0
W35000593,336,308,11,9,9,9,12,12
W35000594,363,330,19,13,12,7,16,10
W35000595,1506,1395,62,41,40,34,48,36
W35000596,540,507,26,14,14,13,19,4
W35000597,290,266,10,9,4,3,10,9
W35000598,367,284,20,19,19,14,22,58
W35000599,696,634,18,14,14,11,18,36
W35000600,423,385,14,12,12,9,14,20
W35000601,296,260,16,14,12,8,15,16
W35000602,647,592,28,20,25,21,30,16
W35000603,1565,1434,92,60,68,54,77,19
W35000604,445,406,25,21,24,19,27,6
W35000605,275,257,10,7,9,5,11,3
W35000606,430,387,27,20,18,14,22,10
W35000607,370,320,37,28,29,27,33,4
W35000608,209,180,20,15,13,10,17,7
W35000609,324,295,14,8,12,10,14,9
W35000610,315,292,13,12,14,11,15,4
W35000611,251,226,16,18,19,16,20,3
W35000612,209,188,17,16,18,14,18,1
W35000613,231,201,23,21,20,15,24,2
W35000614,457,392,38,30,43,30,46,7
W35000615,244,212,17,17,16,10,21,5
W35000616,296,271,13,14,17,12,19,4
W35000617,430,400,21,14,14,10,18,2
W35000618,484,447,27,22,22,19,24,6
W35000619,249,228,13,12,16,11,18,1
W35000620,367,324,32,27,28,24,33,4
W35000621,411,372,30,24,27,23,31,2
W35000622,211,196,5,4,4,3,7,6
W35000623,317,267,35,28,28,22,33,9
W35000624,219,205,9,6,7,5,7,4
W35000625,1358,1259,69,41,40,29,49,19
W35000626,667,608,44,35,38,29,43,4
W35000627,252,226,20,12,16,11,17,1
W35000628,281,201,69,53,57,49,59,6
W35000629,362,290,49,33,40,27,43,12
W35000630,734,572,124,100,109,84,121,14
W35000631,709,551,73,55,54,52,61,78
W35000632,365,310,27,16,21,18,23,22
W35000633,222,174,41,27,29,24,31,6
W35000634,2999,2489,372,266,279,217,321,73
W35000635,693,554,119,87,95,77,100,6
W35000636,333,292,31,30,34,28,35,1
W35000637,337,291,34,23,26,21,29,6
W35000638,2017,1709,212,134,162,110,180,54
W35000639,736,601,80,48,51,40,58,44
W35000640,324,260,32,25,22,17,28,26
W35000641,334,284,43,29,26,23,31,6
W35000642,309,260,41,28,31,24,33,2
W35000643,284,202,77,64,64,58,67,0
W35000644,1294,1090,141,117,123,108,138,32
W35000645,364,307,44,37,41,32,45,5
W35000646,315,271,38,29,29,26,31,3
W35000647,1659,1406,207,144,166,133,176,13
W35000648,855,769,64,37,41,27,48,14
W35000649,354,325,21,13,13,11,16,5
W35000650,319,214,99,94,92,88,96,2
W35000651,314,285,19,11,15,9,17,6
W35000652,313,292,14,10,13,7,14,3
W35000653,279,251,20,15,18,13,20,3
W35000654,1170,1032,99,64,72,44,86,16
W35000655,217,195,16,11,10,7,13,4
W35000656,270,238,28,13,18,14,20,1
W35000657,815,693,100,64,79,58,85,7
W35000658,639,528,85,61,68,49,76,12
W35000659,7571,6479,831,569,652,485,717,112
W35000660,1285,1200,53,31,40,24,46,19
W35000661,1473,1237,176,129,149,120,166,23
W35000662,1067,825,181,130,146,111,157,39
W35000663,1704,1438,219,150,173,141,185,16
W35000664,205,189,11,9,11,9,12,2
W35000665,733,524,180,165,172,151,179,8
W35000666,553,440,94,64,74,57,79,7
W35000667,402,366,23,19,21,16,24,4
W35000668,475,430,37,25,22,15,31,2
W35000669,618,552,45,34,37,27,45,8
W35000670,367,321,29,14,17,14,18,16
W35000671,235,211,20,9,11,7,12,2
W35000672,1075,934,102,80,88,72,97,20
W35000673,359,307,42,26,32,20,35,2
W35000674,484,384,67,46,50,42,52,26
W35000675,784,665,83,63,72,55,76,22
W35000676,438,367,49,38,36,27,44,14
W35000677,729,586,100,77,91,66,100,22
W35000678,609,490,49,38,39,35,43,61
W35000679,231,206,21,17,19,16,21,0
W35000680,993,805,102,86,91,71,100,62
W35000681,409,346,32,27,28,22,32,22
W35000682,1198,994,150,99,115,83,130,29
W35000683,555,448,63,51,57,44,61,32
W35000684,246,213,21,19,17,14,23,6
W35000685,249,221,16,13,17,12,19,3
W35000686,564,466,67,43,55,39,60,16
W35000687,1356,1189,102,66,81,64,85,49
W35000688,424,315,79,57,59,52,66,25
W35000689,296,246,40,25,20,17,28,7
W35000690,307,260,34,27,30,23,33,8
W35000691,1306,977,269,200,208,166,228,31
W35000692,1155,952,153,122,128,95,148,21
W35000693,883,798,61,35,43,23,50,7
W35000694,993,894,52,44,50,37,58,30
W35000695,413,295,76,58,59,51,64,36
W35000696,430,374,44,33,31,26,38,5
W35000697,764,688,58,39,44,31,48,9
W35000698,683,622,40,38,40,33,43,13
W35000699,354,287,44,23,28,18,31,18
W35000700,216,186,13,7,6,5,8,16
W35000701,405,339,44,42,39,33,45,12
W35000702,588,468,83,65,65,48,82,14
W35000703,332,270,45,34,37,29,41,8
W35000704,1087,1004,57,32,38,27,41,17
W35000705,499,460,28,17,16,12,20,8
W35000706,368,320,32,27,29,22,34,8
W35000707,571,507,38,24,26,22,30,18
W35000708,411,367,28,20,18,15,25,11
W35000709,248,228,16,11,13,11,13,1
W35000710,2676,2107,273,191,216,168,235,245
W35000711,721,598,97,65,70,60,76,21
W35000712,328,275,42,29,33,24,36,1
W35000713,595,512,72,58,65,52,68,3
W35000714,390,340,29,18,19,13,23,14
W35000715,1429,1191,199,151,168,132,182,7
W35000716,485,413,42,25,28,22,31,25
W35000717,798,739,33,26,29,22,32,16
W35000718,408,346,32,27,25,25,31,22
W35000719,389,334,28,20,20,17,23,22
W35000720,2768,2097,204,146,162,120,175,435
W35000721,2302,2028,160,138,143,122,162,74
W35000722,476,422,42,31,37,32,40,5
W35000723,715,649,40,38,36,25,47,9
W35000724,606,496,72,53,52,43,58,32
W35000725,412,394,8,9,9,6,11,5
W35000726,708,607,58,66,70,62,82,10
W35000727,698,629,48,42,51,38,54,5
W35000728,2147,1787,257,180,222,159,236,48
W35000729,1247,1042,159,120,133,95,147,16
W35000730,320,248,52,41,42,36,48,9
W35000731,486,414,53,39,41,28,45,12
W35000732,669,573,72,51,57,41,66,6
W35000733,1104,940,121,86,102,78,111,19
W35000734,1568,577,910,764,729,643,805,2
W35000735,4259,2937,726,455,466,338,554,487
W35000736,234,198,21,13,10,6,16,7
W35000737,292,165,53,40,35,28,48,65
W35000738,1130,750,184,118,127,101,144,168
W35000739,1243,419,725,659,609,548,687,31
W35000740,444,155,276,237,231,215,241,2
W35000741,1636,715,827,639,626,520,691,13
W35000742,560,336,199,143,155,119,166,12
W35000743,244,106,123,95,89,72,103,5
W35000744,1075,441,586,462,463,390,502,4
W35000745,2468,1976,434,281,290,222,334,9
W35000746,312,259,48,30,25,22,31,2
W35000747,5398,4283,935,609,676,503,741,61
W35000748,207,173,29,16,20,13,20,0
W35000749,230,187,40,31,28,24,34,0
W35000750,327,282,33,21,27,19,28,1
W35000751,433,365,62,42,41,34,48,1
W35000752,307,264,37,20,25,18,27,1
W35000753,785,616,123,71,75,60,91,25
W35000754,378,281,78,50,53,39,60,2
W35000755,177,153,20,13,12,10,13,2
W35000756,246,206,28,21,24,18,28,4
W35000757,470,366,79,61,66,51,74,11
W35000758,316,254,52,32,37,29,40,0
W35000759,221,191,24,16,15,14,19,2
W35000760,236,191,39,25,28,22,30,2
W35000761,264,210,49,32,34,27,37,2
W35000762,972,792,145,117,112,88,130,15
W35000763,391,327,50,37,43,37,47,7
W35000764,253,206,36,28,32,25,35,5
W35000765,2169,1817,275,224,244,196,278,18
W35000766,301,215,67,49,58,50,61,10
W35000767,922,727,131,98,110,83,115,48
W35000768,336,270,39,33,39,28,41,16
W35000769,635,473,100,72,82,64,87,49
W35000770,504,429,52,46,50,40,57,8
W35000771,211,181,20,11,11,10,12,7
W35000772,331,254,61,47,48,40,52,11
W35000773,916,780,96,69,81,68,89,19
W35000774,275,200,56,58,61,53,64,5
W35000775,344,284,49,34,39,35,45,2
W35000776,640,473,131,104,120,95,126,14
W35000777,533,438,64,48,59,45,61,18
W35000778,356,283,60,50,56,47,58,3
W35000779,805,663,102,83,88,80,96,22
W35000780,597,493,77,56,61,48,66,11
W35000781,599,483,93,80,87,77,94,8
W35000782,631,527,80,63,66,55,76,5
W35000783,1027,839,131,89,107,75,115,38
W35000784,348,271,67,46,46,41,52,4
W35000785,619,520,88,61,63,40,72,4
W35000786,264,223,35,24,30,25,32,1
W35000787,231,194,25,20,21,18,21,11
W35000788,398,336,34,21,30,19,35,15
W35000789,242,178,47,34,38,29,42,12
W35000790,554,453,78,53,60,48,67,12
W35000791,498,399,68,46,51,38,55,22
W35000792,522,407,81,66,71,50,81,22
W35000793,421,359,46,33,39,29,42,6
W35000794,629,510,89,70,84,67,89,10
W35000795,332,235,86,78,82,79,83,6
W35000796,1039,815,141,113,124,106,133,62
W35000797,799,633,122,96,108,87,119,15
W35000798,237,201,28,20,20,18,24,3
W35000799,857,759,66,42,54,35,58,14
W35000800,660,573,60,44,43,30,53,14
W35000801,268,208,53,40,42,38,43,4
W35000802,752,634,84,70,76,60,89,14
W35000803,935,659,218,181,187,166,198,33
W35000804,307,241,50,43,45,39,49,10
W35000805,399,316,64,49,54,39,60,8
W35000806,297,242,35,27,34,27,35,11
W35000807,392,333,47,33,33,27,36,8
W35000808,284,232,43,33,33,31,34,5
W35000809,377,331,24,19,25,14,26,11
W35000810,314,262,36,22,25,17,27,11
W35000811,933,786,119,96,100,80,110,10
W35000812,500,415,57,53,64,49,70,6
W35000813,791,622,100,68,69,51,83,47
W35000814,551,429,88,69,69,53,80,21
W35000815,611,495,87,78,80,70,90,9
W35000816,786,676,78,63,69,51,77,11
W35000817,1065,919,115,78,90,66,98,13
W35000818,458,361,75,55,59,49,65,10
W35000819,254,212,34,30,31,25,31,4
W35000820,1019,841,126,112,120,100,132,23
W35000821,1683,1355,239,196,222,181,240,44
W35000822,1019,904,75,53,64,42,66,23
W35000823,2335,1935,327,251,270,203,298,16
