GeographyCode,WP201EW0001,WP201EW0002,WP201EW0003,WP201EW0004,WP201EW0005,WP201EW0006,WP201EW0007,WP201EW0008,WP201EW0009,WP201EW0010,WP201EW0011,WP201EW0012,WP201EW0013,WP201EW0014,WP201EW0015,WP201EW0016,WP201EW0017,WP201EW0018,WP201EW0019
E33010841,311,303,0,0,3,0,0,1,0,2,0,0,0,2,0,0,0,0,0
E33010842,533,509,3,1,7,0,0,1,2,4,0,0,0,6,0,0,0,0,0
E33010843,416,398,1,0,7,4,0,1,2,0,2,0,0,1,0,0,0,0,0
E33010844,300,283,0,2,7,2,0,0,0,0,0,0,0,0,1,0,2,0,3
E33010845,383,366,2,0,4,0,0,0,1,1,0,0,0,7,0,2,0,0,0
E33010846,266,251,1,0,3,1,1,0,0,2,0,0,2,2,1,1,0,0,1
E33010847,614,589,3,2,12,1,0,0,0,3,1,0,0,1,2,0,0,0,0
E33010848,292,284,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E33010849,405,385,3,0,6,0,0,1,0,5,1,0,0,0,3,0,0,1,0
E33010850,374,356,1,1,7,2,1,1,0,2,0,0,2,0,1,0,0,0,0
E33010851,373,364,2,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0
E33010852,309,286,0,1,7,2,0,0,0,4,1,0,3,1,3,0,0,0,1
E33010853,493,461,2,0,8,1,0,2,1,3,3,0,7,3,1,0,1,0,0
E33010854,423,416,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E33010855,637,617,1,0,15,0,0,0,0,3,0,0,0,1,0,0,0,0,0
E33010856,264,257,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0
E33010857,266,256,1,0,0,1,0,1,1,0,0,0,3,0,3,0,0,0,0
E33010858,650,612,5,0,13,2,0,1,2,2,0,1,2,2,2,4,1,1,0
E33010859,329,318,1,0,5,1,0,0,1,0,0,0,0,3,0,0,0,0,0
E33010860,408,391,0,0,7,0,1,1,0,0,0,0,2,3,2,0,0,0,1
E33010861,324,304,2,0,0,2,0,0,0,0,0,0,7,6,1,0,0,0,2
E33010862,530,502,4,0,6,1,0,0,0,5,0,2,3,3,1,2,0,0,1
E33010863,344,334,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,4
E33010864,303,293,1,0,5,0,0,1,0,0,0,0,2,0,0,1,0,0,0
E33010865,428,411,1,0,6,3,1,0,0,3,0,0,1,1,0,0,1,0,0
E33010866,243,233,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0
E33010867,242,233,0,1,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0
E33010868,622,555,1,2,46,3,0,2,1,0,6,1,0,0,2,3,0,0,0
E33010869,350,329,1,0,2,1,0,0,0,1,3,2,5,5,0,0,0,0,1
E33010870,241,232,1,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,1
E33010871,259,254,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
E33010872,293,277,0,0,5,2,0,0,0,3,0,3,0,0,0,1,1,0,1
E33010873,341,332,1,0,1,0,2,0,0,0,0,0,0,1,2,0,1,0,1
E33010874,356,347,1,0,3,0,0,0,0,2,2,0,0,0,1,0,0,0,0
E33010875,320,283,2,0,2,1,0,0,0,5,16,0,8,2,0,1,0,0,0
E33010876,303,282,3,0,1,2,0,1,1,4,1,0,5,2,1,0,0,0,0
E33010877,260,245,2,0,3,0,1,1,0,2,0,0,1,3,1,0,0,1,0
E33010878,460,439,2,0,8,0,0,1,0,0,1,1,1,0,2,3,0,2,0
E33010879,295,288,1,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0
E33010880,274,246,2,0,6,2,0,0,1,10,0,0,0,4,0,0,0,1,2
E33010881,291,276,1,1,1,1,0,0,1,2,2,0,2,1,2,0,0,0,1
E33010882,337,316,1,0,4,1,0,1,1,6,1,1,0,1,2,2,0,0,0
E33010883,486,457,4,2,4,2,0,0,1,5,0,0,6,1,3,1,0,0,0
E33010884,268,250,1,0,4,0,0,0,3,1,1,0,6,0,2,0,0,0,0
E33010885,344,330,1,0,5,0,0,1,0,3,0,1,3,0,0,0,0,0,0
E33010886,336,318,4,0,4,2,0,1,0,2,0,0,3,0,1,1,0,0,0
E33010887,434,413,2,1,9,1,0,1,1,1,0,0,1,1,0,0,0,1,2
E33010888,391,378,1,0,6,2,0,1,0,2,0,0,1,0,0,0,0,0,0
E33010889,499,483,0,1,3,3,0,0,2,0,0,0,0,0,2,3,1,0,1
E33010890,288,267,1,0,6,2,0,1,1,2,0,0,1,4,1,2,0,0,0
E33010891,567,528,2,0,23,2,1,1,0,0,1,2,0,5,1,1,0,0,0
E33010892,392,348,4,0,27,2,0,0,0,5,0,0,3,1,0,0,1,0,1
E33010893,323,301,3,0,1,1,1,0,0,3,1,0,0,5,0,0,1,0,6
E33010894,257,248,0,0,4,1,0,0,1,0,0,0,1,0,0,2,0,0,0
E33010895,611,577,2,0,9,1,0,5,2,4,5,0,0,1,2,0,1,0,2
E33010896,732,687,1,0,10,1,0,3,1,4,6,6,5,3,1,2,0,1,1
E33010897,368,352,0,0,7,1,1,0,0,1,1,0,1,0,2,1,0,0,1
E33010898,451,416,0,2,7,2,1,1,2,0,4,8,5,2,0,1,0,0,0
E33010899,378,356,0,2,16,1,0,0,0,0,1,0,1,0,0,0,0,0,1
E33010900,534,489,2,1,13,3,0,2,0,4,6,1,4,3,1,3,1,0,1
E33010901,666,640,5,0,11,3,0,0,1,2,2,0,0,1,0,0,0,0,1
E33010902,347,305,0,0,17,0,0,2,1,3,5,0,3,3,5,2,1,0,0
E33010903,579,544,2,0,14,0,0,2,1,6,1,2,2,3,0,1,0,1,0
E33010904,337,294,1,1,17,2,0,2,2,1,3,0,3,4,2,0,0,0,5
E33010905,423,390,1,0,15,1,0,2,1,0,3,0,2,2,0,3,0,0,3
E33010906,807,760,4,1,14,7,0,0,0,5,7,0,3,4,1,1,0,0,0
E33010907,462,445,1,0,6,1,0,0,1,0,0,0,1,1,3,2,0,0,1
E33010908,308,299,0,0,1,0,1,0,0,1,1,0,1,3,1,0,0,0,0
E33010909,307,292,0,0,5,2,0,0,0,1,1,2,0,1,0,0,1,0,2
E33010910,421,405,1,0,4,1,0,1,1,0,2,0,3,1,0,1,1,0,0
E33010911,517,493,1,2,9,2,1,3,0,1,0,0,1,2,1,0,0,1,0
E33010912,326,318,2,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0
E33010913,259,228,0,1,1,3,0,1,2,7,5,0,0,6,2,0,0,0,3
E33010914,613,583,0,0,11,3,0,0,0,3,1,0,1,1,3,4,0,0,3
E33010915,4904,4377,26,2,83,11,5,11,5,131,58,7,20,34,77,10,6,25,16
E33010916,303,274,3,0,8,2,0,2,1,2,2,0,0,6,1,1,0,1,0
E33010917,304,269,0,0,8,1,0,1,1,10,1,0,0,6,2,3,1,0,1
E33010918,339,299,0,0,10,1,0,0,1,1,5,1,13,3,2,0,2,0,1
E33010919,646,578,5,1,23,1,0,2,2,9,9,1,1,5,3,5,0,0,1
E33010920,337,284,3,2,12,1,0,0,1,7,11,0,5,4,6,0,1,0,0
E33010921,618,508,4,3,33,1,1,1,1,8,20,0,11,6,4,12,1,0,4
E33010922,629,528,6,2,59,1,0,0,0,8,7,0,1,3,7,2,1,3,1
E33010923,302,270,1,0,6,0,0,1,0,6,5,0,0,2,3,4,3,1,0
E33010924,283,253,1,0,3,0,3,2,0,2,5,0,1,2,1,3,2,0,5
E33010925,281,218,2,1,28,1,0,3,2,0,13,1,1,3,0,3,1,0,4
E33010926,386,380,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E33010927,437,419,2,1,8,2,1,0,0,0,0,0,0,1,2,0,0,0,1
E33010928,237,230,0,0,2,0,0,0,1,0,0,0,1,3,0,0,0,0,0
E33010929,602,562,6,1,12,1,0,1,1,3,1,0,5,0,4,3,0,0,2
E33010930,323,306,0,0,1,2,1,2,1,2,1,4,0,0,1,1,1,0,0
E33010931,391,364,2,0,10,1,0,1,0,2,3,0,0,3,1,1,1,0,2
E33010932,269,260,2,0,2,0,0,0,0,1,0,0,0,1,1,2,0,0,0
E33010933,312,302,0,0,3,1,0,1,0,0,2,0,1,1,0,1,0,0,0
E33010934,410,346,1,1,30,2,0,0,0,1,7,0,8,5,3,2,0,0,4
E33010935,451,285,1,1,57,3,1,2,1,10,51,3,7,19,3,4,0,0,3
E33010936,490,388,5,2,38,2,0,1,0,9,9,0,10,6,7,3,1,0,9
E33010937,607,552,3,0,23,4,0,0,1,8,7,2,1,3,2,0,0,0,1
E33010938,329,263,0,1,20,3,0,2,1,3,3,1,4,9,4,5,0,0,10
E33010939,267,228,0,0,16,4,0,0,2,9,4,0,2,0,1,1,0,0,0
E33010940,230,212,0,0,4,1,0,0,0,2,3,0,0,1,0,2,0,1,4
E33010941,322,299,2,0,10,1,0,0,0,3,2,0,0,3,1,0,0,0,1
E33010942,452,423,4,0,7,1,0,1,0,5,2,0,6,1,1,1,0,0,0
E33010943,364,331,0,2,8,1,0,2,0,5,4,0,5,5,0,0,1,0,0
E33010944,1509,1407,2,0,33,7,0,2,1,13,18,0,2,11,7,3,0,1,2
E33010945,395,354,3,0,12,0,0,1,0,7,6,0,7,4,0,0,0,1,0
E33010946,333,303,4,0,6,3,0,0,0,5,4,0,3,2,0,2,0,1,0
E33010947,357,341,2,0,6,1,0,1,1,1,0,0,1,2,0,1,0,0,0
E33010948,527,486,11,1,8,0,0,1,2,6,5,0,3,1,1,1,0,0,1
E33010949,315,301,2,0,2,1,0,0,1,0,4,0,1,1,1,1,0,0,0
E33010950,374,347,2,0,8,0,0,2,1,7,1,1,0,4,1,0,0,0,0
E33010951,392,327,3,0,15,2,1,4,1,16,13,0,1,3,2,2,0,1,1
E33010952,375,351,2,0,3,1,0,2,1,5,2,0,3,1,0,0,0,3,1
E33010953,311,270,1,0,21,0,1,1,0,3,0,0,5,1,4,4,0,0,0
E33010954,922,865,1,1,30,2,0,1,1,6,4,0,2,2,1,2,2,1,1
E33010955,461,397,2,0,34,2,1,1,3,3,4,4,2,3,3,0,0,2,0
E33010956,580,537,0,0,19,3,0,2,2,8,2,0,1,1,1,2,2,0,0
E33010957,429,409,5,0,8,0,0,0,0,1,3,0,0,0,0,2,1,0,0
E33010958,691,648,3,1,15,2,1,1,0,4,0,0,8,2,4,0,0,0,2
E33010959,377,359,0,0,9,0,0,0,0,1,4,0,0,2,0,1,0,0,1
E33010960,305,272,1,0,7,1,2,3,0,4,1,2,2,4,2,3,0,0,1
E33010961,338,328,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E33010962,616,549,0,0,20,2,0,2,0,0,9,0,5,12,12,2,1,2,0
E33010963,351,337,0,1,3,1,0,0,1,0,2,0,2,0,0,2,0,0,2
E33010964,273,255,1,0,5,0,0,1,0,3,5,0,0,2,1,0,0,0,0
E33010965,672,644,1,0,10,1,0,0,0,4,1,0,0,3,5,1,0,0,2
E33010966,400,389,0,0,1,2,0,1,0,3,4,0,0,0,0,0,0,0,0
E33010967,337,311,0,0,7,1,0,0,1,4,2,0,4,1,2,0,0,0,4
E33010968,330,321,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,2,0
E33010969,380,333,1,0,21,0,1,0,5,1,1,0,3,4,8,2,0,0,0
E33010970,262,247,2,0,5,0,1,0,0,2,0,0,0,2,3,0,0,0,0
E33010971,272,248,1,1,4,2,0,0,1,1,3,4,1,2,3,0,0,0,1
E33010972,784,728,2,0,28,3,0,0,1,4,5,0,1,4,3,0,0,1,4
E33010973,484,465,1,0,5,1,0,2,1,2,2,0,0,2,1,2,0,0,0
E33010974,350,335,0,0,2,0,0,0,0,0,1,0,8,1,0,0,0,0,3
E33010975,925,828,2,0,65,5,1,2,2,4,7,0,1,3,0,3,0,1,1
E33010976,343,335,0,0,2,1,0,0,0,3,0,0,2,0,0,0,0,0,0
E33010977,383,366,2,0,4,2,2,0,0,1,1,0,1,2,0,1,1,0,0
E33010978,500,455,1,1,12,1,1,0,1,5,2,2,10,3,2,2,0,0,2
E33010979,677,626,2,3,18,2,1,5,0,8,2,0,1,3,1,3,0,0,2
E33010980,344,325,1,0,5,1,2,0,0,0,7,1,0,2,0,0,0,0,0
E33010981,423,398,5,0,1,2,0,1,0,9,2,1,1,1,0,2,0,0,0
E33010982,522,498,3,0,6,1,1,1,0,1,1,0,1,3,3,2,0,0,1
E33010983,340,329,0,0,6,0,0,0,0,0,2,0,1,0,1,1,0,0,0
E33010984,284,276,2,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0
E33010985,478,452,2,1,8,1,1,0,1,0,1,0,1,8,0,1,0,1,0
E33010986,275,261,0,0,3,3,0,0,0,0,1,3,0,1,0,0,0,2,1
E33010987,290,278,0,0,2,1,0,0,0,2,1,0,3,2,1,0,0,0,0
E33010988,334,317,1,0,3,1,0,1,1,3,0,0,0,1,3,0,0,2,1
E33010989,612,581,3,1,8,2,0,2,0,1,2,0,1,6,3,2,0,0,0
E33010990,422,403,0,1,6,2,0,1,0,3,0,0,1,3,0,1,0,1,0
E33010991,559,529,1,0,8,0,0,1,0,9,4,0,1,4,1,0,0,0,1
E33010992,430,411,2,0,6,1,1,1,2,0,1,3,0,1,0,0,0,1,0
E33010993,581,555,2,0,10,3,0,0,1,4,3,0,0,2,0,1,0,0,0
E33010994,268,264,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
E33010995,402,389,2,0,4,1,0,0,1,1,1,0,1,2,0,0,0,0,0
E33010996,374,352,3,0,2,0,0,0,0,4,2,4,5,2,0,0,0,0,0
E33010997,287,283,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
E33010998,1188,1160,2,0,2,9,0,1,0,1,1,0,3,7,0,2,0,0,0
E33010999,389,382,1,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0
E33011000,423,410,0,0,2,0,0,0,0,0,3,0,4,1,2,0,0,0,1
E33011001,438,419,1,0,7,0,0,1,0,3,1,0,0,1,0,0,2,0,3
E33011002,737,717,0,0,14,2,0,0,1,1,0,0,0,1,0,1,0,0,0
E33011003,749,708,2,0,12,3,1,0,1,2,5,0,5,1,2,3,1,0,3
E33011004,560,535,5,0,10,0,0,0,0,1,1,0,1,1,2,0,1,0,3
E33011005,378,353,3,0,4,0,0,1,2,5,1,0,1,1,4,2,1,0,0
E33011006,330,314,0,0,6,1,0,0,0,2,5,0,0,0,2,0,0,0,0
E33011007,388,366,2,0,5,1,0,0,1,6,3,0,0,0,2,2,0,0,0
E33011008,425,404,2,0,5,1,0,0,1,7,2,0,1,0,2,0,0,0,0
E33011009,585,564,3,0,4,0,0,1,1,1,2,0,1,2,2,1,1,0,2
E33011010,287,278,2,0,1,1,0,0,0,1,2,0,0,0,1,0,1,0,0
E33011011,327,311,2,0,6,1,0,0,1,0,1,0,1,2,2,0,0,0,0
E33011012,657,628,2,0,2,0,1,2,1,3,6,3,2,4,2,0,0,0,1
E33011013,274,262,0,0,2,1,0,0,0,0,2,0,0,0,4,0,1,2,0
E33011014,595,572,1,0,4,2,0,2,0,5,2,0,2,3,0,1,0,0,1
E33011015,293,277,1,0,2,2,0,0,0,0,0,0,2,1,2,0,1,0,5
E33011016,323,312,0,0,2,1,0,0,0,2,1,0,0,1,2,0,0,0,2
E33011017,357,344,0,0,4,0,0,0,0,2,2,0,1,4,0,0,0,0,0
E33011018,282,272,0,1,2,1,0,1,0,2,1,0,0,2,0,0,0,0,0
E33011019,341,329,2,0,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0
E33011020,630,608,1,0,4,0,1,1,0,2,2,0,3,4,4,0,0,0,0
E33011021,464,457,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0
E33011022,381,367,0,0,5,1,0,0,0,1,5,0,0,1,0,0,1,0,0
E33011023,479,468,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,4
E33011024,423,398,3,0,3,0,0,0,1,6,4,0,1,0,6,1,0,0,0
E33011025,412,384,1,0,3,2,2,0,1,4,5,0,1,2,4,1,0,0,2
E33011026,559,515,2,1,8,2,0,1,0,11,4,2,1,2,0,0,0,1,9
E33011027,293,273,1,0,3,1,0,1,0,6,5,0,0,0,0,2,0,1,0
E33011028,536,486,0,1,7,2,0,2,0,6,8,0,2,12,5,2,0,0,3
E33011029,371,354,2,1,0,1,2,0,0,0,3,0,0,1,5,1,0,0,1
E33011030,296,278,2,0,1,3,1,1,0,0,3,0,1,2,1,1,0,0,2
E33011031,253,247,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0
E33011032,604,576,3,0,5,3,0,0,1,2,4,0,0,0,1,0,0,2,7
E33011033,273,261,0,0,5,0,0,0,1,1,2,0,1,0,1,0,0,0,1
E33011034,264,249,1,0,2,0,0,0,0,1,1,0,0,1,8,0,0,1,0
E33011035,312,301,2,0,1,1,0,1,0,3,0,0,0,1,0,1,0,0,1
E33011036,675,657,0,0,6,0,0,0,0,1,2,0,0,2,3,1,0,0,3
E33011037,380,359,0,0,3,0,0,3,2,2,5,1,1,2,2,0,0,0,0
E33011038,321,283,0,1,7,2,0,2,1,2,14,0,0,3,3,0,0,3,0
E33011039,742,699,2,1,13,2,0,4,1,5,12,0,0,1,2,0,0,0,0
E33011040,270,247,2,0,2,0,1,3,0,0,10,0,0,4,1,0,0,0,0
E33011041,342,314,1,0,5,1,0,0,1,3,10,1,1,0,1,0,1,1,2
E33011042,308,263,0,0,5,0,0,1,3,0,13,2,1,4,5,0,1,7,3
E33011043,336,304,2,0,7,0,0,1,0,1,7,0,1,2,1,2,0,2,6
E33011044,280,233,0,0,6,2,0,0,0,7,23,0,1,5,0,1,1,1,0
E33011045,282,228,2,0,5,0,1,1,0,2,21,0,2,3,6,2,1,1,7
E33011046,357,295,1,0,5,5,0,4,2,2,31,0,0,6,2,2,0,2,0
E33011047,1166,1115,2,0,8,2,1,1,1,9,12,0,0,3,3,5,2,2,0
E33011048,299,251,1,0,8,0,0,1,0,2,15,2,1,5,3,2,1,1,6
E33011049,297,283,4,0,4,1,0,0,0,2,2,0,1,0,0,0,0,0,0
E33011050,241,220,0,0,6,0,0,1,1,1,2,0,2,0,2,0,0,4,2
E33011051,669,634,3,0,8,0,0,0,1,1,11,0,3,2,3,1,0,2,0
E33011052,472,437,5,0,2,2,0,2,0,0,10,0,5,0,8,0,1,0,0
E33011053,416,313,3,1,10,1,1,0,6,2,48,0,0,9,15,0,1,0,6
E33011054,788,622,0,0,17,0,1,4,2,4,110,7,0,7,5,3,0,5,1
E33011055,286,246,0,0,8,1,0,3,0,5,12,0,2,3,3,1,0,0,2
E33011056,626,554,2,1,17,0,2,1,2,3,21,0,0,1,14,4,0,0,4
E33011057,373,217,0,2,34,0,0,0,2,4,68,2,9,11,5,0,2,2,15
E33011058,355,277,2,0,12,1,0,0,1,4,47,0,0,5,2,1,0,1,2
E33011059,556,478,11,3,10,0,0,2,3,2,26,0,4,7,4,1,3,2,0
E33011060,314,283,2,1,1,1,1,2,0,5,10,0,2,2,1,1,0,2,0
E33011061,470,457,2,0,4,1,0,1,1,1,2,0,1,0,0,0,0,0,0
E33011062,300,296,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
E33011063,1581,1489,5,0,30,1,0,6,1,14,15,0,3,3,6,5,0,1,2
E33011064,417,406,0,0,4,0,0,0,1,1,5,0,0,0,0,0,0,0,0
E33011065,351,328,1,0,6,0,0,2,0,4,0,0,0,5,3,0,0,0,2
E33011066,381,366,1,0,4,1,0,0,0,5,1,0,0,0,1,0,0,0,2
E33011067,305,289,2,0,2,0,1,1,1,0,6,0,1,2,0,0,0,0,0
E33011068,288,269,1,0,11,0,0,0,1,3,1,0,2,0,0,0,0,0,0
E33011069,329,311,0,0,4,0,0,0,0,3,1,0,7,1,0,0,0,0,2
E33011070,686,650,1,0,5,1,1,0,0,4,6,1,4,5,5,1,0,2,0
E33011071,302,288,2,0,3,0,0,0,1,3,0,0,1,3,1,0,0,0,0
E33011072,515,483,2,0,4,2,1,1,0,2,10,0,2,2,2,2,0,0,2
E33011073,268,259,0,0,3,1,0,0,0,3,0,0,0,1,1,0,0,0,0
E33011074,368,349,0,0,8,0,0,1,0,3,0,0,2,2,2,0,0,0,1
E33011075,658,639,1,0,7,1,1,1,1,1,0,0,1,3,0,2,0,0,0
E33011076,467,439,1,0,2,0,1,1,1,2,7,1,4,2,3,1,0,0,2
E33011077,288,256,7,0,2,1,0,0,3,2,7,1,2,4,2,0,1,0,0
E33011078,328,281,3,0,5,1,1,0,0,8,18,0,1,7,2,0,0,1,0
E33011079,327,306,4,0,10,0,1,0,0,0,5,0,0,0,0,1,0,0,0
E33011080,299,295,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E33011081,367,337,0,0,2,1,1,0,0,2,12,0,6,3,1,0,0,0,2
E33011082,598,577,0,0,5,1,0,3,0,1,7,0,1,2,1,0,0,0,0
E33011083,245,226,2,0,3,2,0,0,0,4,4,0,2,1,1,0,0,0,0
E33011084,750,725,3,0,3,1,0,1,2,3,4,0,1,0,4,1,0,2,0
E33011085,426,412,0,0,4,1,1,1,0,2,3,0,0,0,0,0,0,2,0
E33011086,1038,912,2,0,21,2,0,6,0,10,55,1,1,12,5,4,1,2,4
E33011087,317,273,1,0,2,0,0,0,0,6,31,0,0,2,0,1,0,1,0
E33011088,686,567,3,0,23,1,0,3,2,14,45,0,11,9,7,0,0,1,0
E33011089,280,229,1,0,1,0,0,1,2,8,24,0,3,2,7,0,0,2,0
E33011090,362,263,1,1,10,0,0,1,1,3,56,0,5,10,6,0,1,1,3
E33011091,340,310,2,1,7,0,0,0,1,1,11,0,2,3,0,1,0,1,0
E33011092,579,537,3,0,5,3,0,0,0,4,11,0,2,4,2,2,6,0,0
E33011093,378,345,1,0,2,2,1,1,0,8,10,0,3,1,1,2,0,0,1
E33011094,2081,1961,5,0,27,7,1,7,1,11,25,1,4,9,8,3,3,6,2
E33011095,834,777,1,0,20,4,1,2,2,4,9,0,1,2,5,0,0,3,3
E33011096,440,418,0,0,3,1,0,2,0,2,7,1,1,1,2,1,0,0,1
E33011097,415,386,3,0,6,1,0,0,0,1,9,0,3,2,0,4,0,0,0
E33011098,527,505,4,0,7,0,0,0,1,2,4,1,0,1,1,0,0,0,1
E33011099,269,253,0,0,8,1,0,1,0,0,1,0,0,2,0,1,1,0,1
E33011100,508,490,1,0,6,1,1,0,0,0,5,0,0,0,2,0,0,1,1
E33011101,295,279,1,0,6,0,0,2,0,1,2,0,2,1,1,0,0,0,0
E33011102,308,294,0,0,5,1,0,0,0,1,5,0,2,0,0,0,0,0,0
E33011103,280,259,0,0,3,1,0,0,0,2,5,0,4,2,2,1,0,1,0
E33011104,1352,1246,4,0,33,2,2,3,2,7,10,5,8,7,5,5,0,3,10
E33011105,314,297,1,0,4,1,0,0,0,6,2,0,0,0,0,3,0,0,0
E33011106,351,330,1,0,6,0,1,0,2,3,0,0,2,2,2,2,0,0,0
E33011107,1073,985,0,0,58,1,1,0,1,2,10,0,1,0,7,2,3,2,0
E33011108,308,295,0,0,3,0,0,1,2,2,2,0,0,1,0,1,0,0,1
E33011109,293,277,1,1,7,1,0,0,0,0,1,0,1,2,0,0,0,2,0
E33011110,431,417,1,0,8,1,0,1,0,2,0,0,0,0,0,0,0,0,1
E33011111,1008,968,5,0,13,1,2,4,1,3,5,1,0,0,3,1,0,1,0
E33011112,718,692,2,0,11,3,0,1,2,0,1,0,0,0,4,1,1,0,0
E33011113,452,412,0,0,27,1,0,1,0,0,7,0,1,0,0,2,0,0,1
E33011114,401,366,4,0,9,1,1,1,0,9,2,0,2,3,2,1,0,0,0
E33011115,285,279,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0
E33011116,428,406,0,0,8,2,0,0,2,2,1,0,3,0,3,1,0,0,0
E33011117,739,715,0,0,10,1,0,0,1,1,3,0,4,3,0,0,1,0,0
E33011118,273,264,0,0,1,2,0,1,0,3,0,0,0,1,0,0,1,0,0
E33011119,291,270,1,0,5,1,0,1,0,2,3,1,0,3,2,0,1,0,1
E33011120,388,356,4,0,5,1,1,2,1,6,5,1,2,1,0,3,0,0,0
E33011121,382,355,2,0,6,2,0,1,0,1,6,1,4,0,1,0,1,2,0
E33011122,341,322,2,0,3,2,0,1,0,4,2,0,2,0,1,1,0,0,1
E33011123,290,284,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0
E33011124,263,251,0,0,3,0,2,0,0,0,2,0,1,0,1,1,1,1,0
E33011125,283,270,2,0,2,0,0,1,0,1,3,0,0,2,0,0,0,0,2
E33011126,614,588,2,0,8,1,2,0,0,2,1,0,4,2,3,1,0,0,0
E33011127,278,274,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E33011128,333,326,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1
E33011129,250,236,1,0,2,0,0,0,0,2,3,0,2,1,0,0,3,0,0
E33011130,363,349,1,0,8,1,0,0,0,1,0,0,0,2,1,0,0,0,0
E33011131,295,288,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,1
E33011132,501,446,0,0,14,0,0,0,1,9,20,1,4,3,0,1,0,1,1
E33011133,393,383,1,0,1,2,0,0,0,3,0,0,0,1,2,0,0,0,0
E33011134,312,293,1,0,1,1,0,0,0,0,6,0,0,5,0,2,0,1,2
E33011135,366,349,0,0,5,1,0,0,0,0,6,1,0,1,2,0,0,1,0
E33011136,399,382,1,0,9,0,0,0,0,0,0,1,2,1,2,1,0,0,0
E33011137,490,472,4,0,3,0,0,1,1,1,2,2,1,1,2,0,0,0,0
E33011138,939,896,2,0,7,2,1,4,0,9,1,0,0,3,9,3,1,1,0
E33011139,356,327,0,0,5,2,0,1,0,2,3,0,0,2,10,1,1,1,1
E33011140,763,734,0,0,8,1,2,0,0,1,2,2,2,3,2,1,1,4,0
E33011141,261,255,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
E33011142,692,641,5,0,11,2,0,1,4,1,4,0,3,4,8,5,3,0,0
E33011143,414,390,1,0,9,2,0,1,2,1,1,0,0,2,2,2,0,1,0
E33011144,401,372,2,0,10,0,1,0,0,5,4,1,2,3,0,0,0,1,0
E33011145,398,385,2,0,0,2,0,0,0,0,3,0,1,2,2,1,0,0,0
E33011146,356,342,4,0,3,0,0,0,0,1,1,0,0,0,4,0,0,1,0
E33011147,322,294,0,0,7,2,0,0,0,2,4,0,0,0,6,2,1,2,2
E33011148,484,459,1,0,12,2,0,0,1,0,1,0,0,2,2,0,0,0,4
E33011149,404,376,1,0,12,1,1,1,1,2,1,1,0,0,0,6,0,0,1
E33011150,313,307,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
E33011151,2825,2551,22,0,113,9,4,3,6,27,20,1,10,13,16,15,3,8,4
E33011152,292,268,1,1,3,1,0,0,0,5,2,0,1,3,2,4,0,0,1
E33011153,445,406,3,0,4,1,0,1,0,2,8,0,3,4,6,2,2,0,3
E33011154,535,504,1,0,6,1,0,2,1,2,2,0,1,3,5,4,2,0,1
E33011155,540,504,3,0,2,2,0,3,1,1,8,0,0,0,5,4,0,1,6
E33011156,280,271,1,0,3,0,0,0,0,0,0,0,2,1,2,0,0,0,0
E33011157,497,467,3,0,7,2,0,3,1,1,4,4,0,1,1,2,0,1,0
E33011158,260,252,1,0,0,0,0,0,1,1,2,0,0,0,1,2,0,0,0
E33011159,356,341,2,0,3,0,1,2,0,0,6,0,0,1,0,0,0,0,0
E33011160,296,288,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,3,0
E33011161,414,376,2,0,10,3,0,0,1,3,2,0,0,2,5,5,4,0,1
